Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,Risk Score,Exposure Amount
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6345,71.39,635562.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4546,92.11,342242.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2706,86.84,939840.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4421,51.46,79520.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2756,38.56,549204.27
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5245,93.6,293310.94
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7672,55.0,636006.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2136,2.0,729047.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2457,57.61,386018.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7788,93.25,135727.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2705,92.21,942730.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5388,7.42,818824.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5141,96.61,927138.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4314,32.97,709039.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4007,91.88,938005.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3760,58.83,502008.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7086,28.03,892054.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5172,25.2,595467.5
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9051,96.53,677313.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8618,43.15,762111.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7407,50.34,453457.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7585,90.09,777681.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1808,26.05,47233.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6985,22.94,214876.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9574,23.66,392036.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4597,25.46,502493.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3153,67.72,460570.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4276,1.89,470605.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8089,51.81,884886.29
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6225,65.78,58082.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5288,63.94,735604.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2196,60.52,263036.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3173,79.16,978157.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3171,54.66,138962.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4828,22.57,526008.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4550,18.97,415271.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5478,81.31,753673.75
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7971,11.23,793238.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2943,92.7,342337.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3880,22.91,244771.91
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7716,13.7,671596.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7865,20.99,833546.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2391,80.82,469796.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5414,71.37,349649.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9857,2.79,998187.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1337,20.45,609480.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5578,45.26,905133.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9435,35.69,63712.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1835,5.68,770431.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1128,86.74,824000.5
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1327,95.89,705980.14
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4426,98.92,337962.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7691,43.68,823195.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5162,56.17,699841.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3906,42.24,823615.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8628,85.24,456164.75
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2280,20.88,506557.53
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6483,97.84,330998.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4238,5.56,359531.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4842,94.95,401003.98
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2122,11.16,515855.19
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9255,53.89,57815.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8956,56.91,168354.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9598,22.14,413091.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7264,29.94,973958.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7832,54.5,489480.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4453,81.75,341782.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8661,46.97,166646.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7619,5.17,815962.39
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7108,15.53,74571.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4158,20.51,611486.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6711,60.68,29081.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6294,37.31,641854.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1312,12.86,450995.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3724,74.25,751620.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2357,9.67,907115.13
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3955,67.96,734794.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4008,20.06,577899.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7618,50.87,987404.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2917,9.72,676917.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7268,27.06,207290.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2818,0.86,180167.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9115,6.01,917742.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3567,34.12,740304.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5212,47.72,693777.29
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4031,10.28,321557.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4380,1.86,440759.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5043,77.67,552309.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4719,33.98,415966.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6608,95.27,304223.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8863,53.67,644579.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8084,53.13,769791.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6429,89.79,901690.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5305,77.49,392348.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8674,76.42,827088.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1815,40.88,60487.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6806,69.51,238150.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6198,47.41,443115.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6072,42.7,427317.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9928,37.75,955988.7
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1924,25.36,106188.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2742,97.08,626255.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7982,72.58,648089.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4809,28.9,309268.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4073,13.43,838908.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1003,71.9,683203.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9991,0.86,429666.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3514,18.47,185862.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2233,35.03,841370.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7232,9.49,738685.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4309,10.55,376993.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6706,39.31,632725.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6555,21.63,56981.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3626,93.02,499339.19
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8149,89.67,120961.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1496,62.13,381527.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3544,3.03,50967.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5825,1.86,742719.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9193,47.8,623169.98
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3721,82.26,637964.99
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2672,48.92,437680.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6233,56.68,657443.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9050,93.19,110262.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8352,74.42,209687.87
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2905,8.68,656369.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,2445,52.1,10414.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6494,35.39,838566.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4773,15.98,248947.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4800,77.68,396035.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7131,1.78,786952.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6427,52.15,414293.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8061,41.18,298494.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8565,96.71,422968.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,7486,90.79,227398.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4387,43.98,23685.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,5520,58.3,384197.85
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4054,39.99,849496.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4591,58.9,379663.87
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4670,41.41,171373.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,9698,15.95,109314.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3314,61.94,616017.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,8137,28.78,772358.33
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6977,46.19,297991.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,3332,89.88,41859.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,4178,21.09,428516.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,6937,77.42,346262.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Analyze Market Exposure,Monitor,Customer Risk Data,Analyze Market Exposure,1738,99.97,235036.71
