Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Region,Fraud Risk Score,Status,Investigator Name,Transaction Date
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,63e213fd-4493-4410-9753-788cd9073c63,9114,3811.38,Wire Transfer,Americas,60.41,Cleared,Casey Williams,2025-09-05
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,c2411198-4a10-440e-94e4-67e67af4159f,7106,30646.87,Online,APAC,96.59,Cleared,Eugene Martinez,2025-10-12
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,587852d2-0ff2-41e9-8d1b-503ec2832b24,3371,24273.47,Wire Transfer,APAC,36.23,Cleared,Raymond Cross,2025-04-01
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,1f60c1c4-17ef-4acb-a4c2-6453ca389b48,6109,3930.35,ATM,APAC,5.36,Cleared,Jesse Myers,2025-08-05
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,968cc860-783b-4bc1-b882-14348d1541cd,3421,14184.99,Online,EMEA,37.87,Confirmed Fraud,Tamara Caldwell,2025-08-29
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,041f67a1-bba8-49ac-9e2e-5b6fa653f22e,8486,49445.9,POS,Americas,9.45,Confirmed Fraud,James Miller,2025-01-16
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,55339de9-9711-4e4f-83a0-03b14499d635,2919,10687.06,Online,APAC,8.89,Cleared,Robert Hall,2025-07-05
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,73a66a18-d5f7-447c-9f7f-25f0b718c847,6161,32414.8,POS,Americas,12.56,Cleared,Mr. Scott Carroll,2025-07-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ee525a9f-ce8e-496f-8798-7e94d6d0f2bf,6680,42344.56,Online,EMEA,84.54,Cleared,Alyssa Henson,2025-01-18
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,cbfe5f38-77d5-48ff-a331-dd6c8456e032,3220,16536.91,Online,EMEA,98.36,Cleared,Christopher Russo,2025-05-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,98629d5d-3cb0-44f3-9382-185b5101260d,4769,33687.29,Wire Transfer,Americas,80.38,Confirmed Fraud,Brian Chung,2025-07-29
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,73e020ca-eafd-4c96-8ba8-b48920279e3d,8066,18968.62,ATM,EMEA,9.07,Confirmed Fraud,Michael Olson,2025-04-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,9ef949cb-068a-466e-82d8-4bb1f4a66471,6696,14012.02,ATM,Americas,77.28,Flagged,Melissa Campbell,2025-09-19
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d5e728d9-ad26-40cb-964e-0cd90f082350,6224,49303.38,Wire Transfer,Americas,42.72,Reviewed,Raven Myers,2025-08-12
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,1ccf7865-12cd-4400-9ea3-ff836949037b,6548,33121.25,Online,EMEA,60.25,Flagged,Rachel Simpson,2025-03-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ab00c3f5-fde5-4e98-b795-91f5366d1d89,1048,32987.32,ATM,APAC,4.12,Flagged,Shawn Harris,2025-02-02
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,89b061a8-87f2-42d5-97b0-7cbf73903485,6018,11209.79,POS,Americas,91.75,Confirmed Fraud,Michelle Melendez,2025-10-09
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d0093125-a014-4a32-8876-577fdbc051d6,5580,4487.73,Wire Transfer,APAC,76.63,Reviewed,Roberta Cole,2025-09-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,642dcb80-5660-41e8-aa55-c0c69ded302c,4442,4206.9,Online,EMEA,11.71,Confirmed Fraud,Brian Roberts,2025-01-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d14ad19e-31cf-4ce0-81d1-fac76454bb24,2402,19168.32,Online,EMEA,77.34,Confirmed Fraud,Jenny Brown,2025-07-21
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,e7dc7365-65e2-42ab-a7b6-3df3843c9864,5703,17355.31,POS,APAC,1.16,Reviewed,Melvin Brown,2025-04-20
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,734d09a8-293d-4dc0-b0c7-760a6771520c,3412,14291.9,Online,Americas,92.37,Reviewed,Christopher Wang,2025-08-09
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,8d40f13f-e531-4cc4-a9f7-441b18c48834,6549,24039.12,POS,APAC,45.76,Reviewed,Brandy Morris,2025-03-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,9f328a01-bc44-4c2d-8e07-1669094353e3,7587,47009.22,Online,Americas,79.68,Flagged,Elizabeth Rivers,2025-09-06
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,4ee87bfc-cc5e-4039-b9c5-80b86f84da1f,8137,25143.87,POS,Americas,21.91,Confirmed Fraud,Timothy Crosby,2025-07-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,3aaf9daf-7706-4eaf-bdd8-7bd77f54aaac,4526,26838.9,POS,APAC,56.56,Confirmed Fraud,Christy Williams,2025-04-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,6c6e26a2-0c7f-4643-9af5-8d0f72af702d,7971,28980.1,POS,APAC,47.66,Cleared,Brett Small,2025-08-29
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,386028ff-3bb8-471b-9ffc-0c25006417cc,7629,24836.83,Online,APAC,27.63,Cleared,Richard Hicks,2025-03-18
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,9191d455-af3a-4011-b55a-1c6d8d4dcc6d,8903,41259.62,Online,EMEA,77.75,Confirmed Fraud,Christopher Neal,2025-08-29
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,37109c62-f750-483f-a02e-a42e2e9ca0d7,4561,14790.09,ATM,APAC,57.86,Cleared,Curtis Neal,2025-01-24
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,fa7c56fa-ad0e-438b-bbc2-cb7850c2e877,5206,41490.78,ATM,APAC,44.76,Confirmed Fraud,Matthew Simon,2025-07-20
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,53040b84-37d8-4c75-8dd5-33da0b0ad305,5310,18410.82,Wire Transfer,Americas,54.09,Confirmed Fraud,Adam Petersen,2025-06-26
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,0214b4b5-0efa-4167-8949-a73477393e1f,2367,30902.82,POS,APAC,25.85,Cleared,Kenneth Reed,2025-05-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,59cf8128-d405-4e8d-b0d2-9cd8fff078c6,3734,36519.59,ATM,EMEA,40.81,Flagged,Chelsea Mayo,2025-09-28
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,9be4368b-1c50-4bbe-9852-d147bb496e05,2594,35596.8,Online,EMEA,29.07,Reviewed,Tanner Orozco,2025-05-23
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,49b509bd-24b3-4332-ba6c-a8bed2013eae,2021,7523.05,Online,EMEA,27.96,Reviewed,Joseph Garrison,2025-01-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,0c18eee3-cbf7-45ce-b19d-b0088034e15b,3364,15002.83,ATM,APAC,56.62,Cleared,Kimberly Moore,2025-03-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,04519bef-5cee-49a6-8906-a1ef41366d0d,4920,37595.36,POS,EMEA,90.78,Reviewed,Jason Johnson,2025-06-27
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,2a415dd3-e3d4-4fff-bdc4-aea855cf9272,1450,31983.75,POS,APAC,95.48,Cleared,Emily Johnson,2025-02-28
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d2cba65a-749d-445a-aeeb-64078845df15,2214,47452.12,POS,EMEA,89.02,Cleared,Erica Buchanan,2025-07-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,c7dce83a-af32-4f78-afbc-5419d318a40a,4966,25877.87,Wire Transfer,APAC,11.41,Cleared,Mark Thomas,2025-06-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,5672a28f-ccf0-437f-8aa6-ba06ca680be6,1941,36424.65,ATM,EMEA,68.04,Reviewed,Michael Turner,2025-04-19
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,dea64618-b239-4b9f-860e-edab762ae848,8477,13823.74,Wire Transfer,Americas,67.31,Reviewed,Kevin Chaney,2025-01-12
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,dcf10a76-0aaf-4b4b-8993-4671bd6e8ddd,7698,22897.42,Online,EMEA,79.81,Flagged,Gary Ramos,2025-02-21
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,5f2fdab3-ca09-46b6-aa98-c51c37f3155a,9356,26008.13,Wire Transfer,Americas,60.96,Confirmed Fraud,Robert Sharp,2025-03-22
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,a90225ff-746a-42b8-a045-009485a0c1ca,1365,44969.58,POS,APAC,12.8,Cleared,Brian Scott,2025-05-12
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,22dff883-704c-4ce4-b0ac-807ec747ef7a,2876,8900.27,ATM,EMEA,26.73,Reviewed,Joseph Miller,2025-08-31
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,3e943806-69cf-47e0-aae7-4d6c0639f99b,4547,21313.91,POS,APAC,66.09,Confirmed Fraud,Sabrina Owen,2025-01-14
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,63c82b9d-9351-43f3-b109-4768edb4bb47,5077,18709.79,ATM,APAC,33.43,Flagged,Haley Underwood,2025-03-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,2579f596-be7d-40c4-b28a-0ac31f42c1dd,5345,29566.35,Wire Transfer,Americas,28.59,Reviewed,Aaron Cooper,2025-07-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,fb80ebf6-6320-4878-800a-4c9de9947e8c,3359,12150.52,POS,Americas,6.25,Reviewed,Charlotte Maldonado,2025-03-28
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,78aa9a95-e748-46e1-92a5-dafda1b7bb8f,3519,36941.96,Wire Transfer,Americas,9.39,Flagged,Sandra Richardson,2025-03-29
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,3a7a7c88-5e8f-4155-8770-833c8da068cf,6054,14953.75,POS,EMEA,36.67,Cleared,Ashley Hayes,2025-01-12
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,2ef5aedb-4c91-4b9d-b8d6-aa02acd1299a,4494,17002.92,Wire Transfer,EMEA,34.27,Reviewed,Brandon Franklin,2025-02-21
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,6c87d2f7-29cc-494e-8b04-c5cb5b346639,8868,20553.18,Online,Americas,69.48,Cleared,Tammy Cole,2025-08-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ae7f1294-e3fa-4246-95fb-b309ca65e705,9828,21581.25,POS,APAC,50.27,Cleared,Michele Henderson,2025-04-11
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,7a4074ae-64b2-475b-a979-f40110707451,8913,19522.89,ATM,EMEA,92.71,Flagged,Rodney Sparks,2025-04-23
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,b8992a72-5528-4a06-8244-afb49efc80cd,9203,25058.46,Wire Transfer,EMEA,43.77,Confirmed Fraud,Joann Horn,2025-09-22
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ec890a6d-e72c-4549-9717-908b65f5078e,9076,30503.28,Wire Transfer,EMEA,62.68,Flagged,Rachel Lopez,2025-07-19
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,f299f9ca-4ea8-4c03-b93f-62b281227ab1,2760,44152.25,Online,Americas,61.63,Cleared,Edward Mclaughlin,2025-03-03
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,9d354502-7968-4209-b8cf-d654e02b3b51,1808,1397.45,Online,EMEA,21.57,Confirmed Fraud,Melissa Smith,2025-08-05
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,6b4939b2-0b2b-48fb-a8c2-42ea16dd9d3d,9049,48845.94,ATM,APAC,68.59,Confirmed Fraud,Jonathan Lewis,2025-09-04
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,43660370-c14f-4fd1-b8ae-a5280ee250c4,9601,42653.98,Online,Americas,41.24,Flagged,Christopher Silva,2025-01-08
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,dd443188-bc70-4df3-b1d6-b4e3401cb845,4343,33276.77,Online,APAC,67.21,Flagged,Tony Carter,2025-03-24
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,22f94db2-e2c5-4991-86b4-7aa68528643b,5208,47223.38,Online,APAC,84.79,Confirmed Fraud,Tiffany Weaver,2025-08-19
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,bfb88de2-5001-4148-80a6-95d39878423f,6986,14593.22,Wire Transfer,EMEA,75.29,Cleared,Sara Marshall DDS,2025-03-06
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,569fe001-3c0d-49b0-b0a1-5a0850722d95,8096,24844.71,Wire Transfer,EMEA,92.85,Flagged,Andrew Moreno,2025-05-13
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,a1ae9b82-cab0-469b-83ca-15f949c94367,7361,28626.99,Wire Transfer,EMEA,55.8,Confirmed Fraud,Daniel Cruz,2025-01-13
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,972835dd-cfe9-4047-8f3d-8ed532fb0372,5582,7417.78,Wire Transfer,EMEA,27.5,Cleared,Renee Ramos,2025-09-26
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ed536dc7-0184-405f-9f94-b831c6f81c29,6350,34972.63,POS,EMEA,92.17,Confirmed Fraud,Diana Ferguson,2025-01-02
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,b58a342a-a193-425e-b3e3-ce7af31dbf78,1680,49440.11,Online,EMEA,25.42,Confirmed Fraud,Andrew Wells,2025-08-16
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,3b2de114-dfa5-4075-a0a7-2d1bd40f3c95,3271,46769.88,Online,Americas,48.9,Confirmed Fraud,Matthew Greer,2025-06-02
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,4a9bf2f7-1203-4371-8e01-613f5e53ad7d,8013,7843.52,Wire Transfer,Americas,19.14,Confirmed Fraud,Christine Bowers,2025-01-17
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,7817d16b-8af9-4f23-90c4-b5c5d5518c22,9327,49242.31,Online,Americas,31.09,Reviewed,Steven Johnson,2025-07-25
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,cc5be4b9-9cd7-4648-8616-6f867b2c2a8f,3361,476.13,Online,Americas,26.42,Confirmed Fraud,Tony Miller,2025-09-02
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,ef2dab4c-dfc0-4fff-8a45-6730654b9c04,7331,30063.27,ATM,APAC,23.01,Reviewed,Elizabeth Austin,2025-07-31
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,686e8913-3027-4f41-8665-c025030c9193,2036,13583.4,Online,Americas,9.62,Cleared,Juan Mcdonald,2025-07-06
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,5754f88b-b468-408d-80b5-06bf66b67bc5,5674,14214.43,POS,Americas,86.53,Flagged,Stephanie Parker,2025-08-11
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,5d85285b-7517-40d8-af6f-db0bf56fe1d6,7918,1446.06,POS,EMEA,42.7,Cleared,Tracy Beard,2025-07-09
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,974f3b54-3190-4f43-a904-004d5e379614,1849,25978.39,Wire Transfer,APAC,34.69,Confirmed Fraud,Brianna Cobb,2025-05-20
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,fdc511ac-fa2d-450d-a9e1-3a71479ccf73,9611,31359.17,Online,APAC,81.74,Cleared,Sarah Jones,2025-02-10
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,5c75e35c-6e26-4449-a7dc-5a6d892c73f3,2552,36214.71,ATM,Americas,94.48,Cleared,Carol Wright,2025-03-16
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,871e97a8-1da0-4924-8829-0846e073141d,4850,15882.94,Wire Transfer,APAC,40.05,Confirmed Fraud,Lori Morris,2025-06-16
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,d0a97fb3-326a-4cf4-bb7c-87d8300127c5,8787,21793.75,Wire Transfer,Americas,34.72,Confirmed Fraud,Michael Rogers,2025-08-20
Risk Management,Risk and Compliance Operations,Fraud Detection and Prevention,Monitor Suspicious Transaction,Security Value,Compliance Data,Monitor Suspicious Transaction,54d59c8a-2fbd-48a8-8ce5-4af1a6f583ae,3696,2416.42,Online,EMEA,84.41,Cleared,John Baker,2025-06-05
