Domain,Business_Activity,Sub_Domain,Activity_Description,Value_Type,Data_Domain,Data_Value,Borrower_ID,Borrower_Name,Credit_Score,Loan_Amount,Loan_Type,Risk_Rating
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00022,Borrower_22,535,4820315.07,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00023,Borrower_23,501,2968702.68,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00024,Borrower_24,699,1295650.77,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00025,Borrower_25,562,1367345.06,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00026,Borrower_26,479,4276220.39,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00027,Borrower_27,594,3124105.88,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00028,Borrower_28,378,1178172.16,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00029,Borrower_29,612,603205.86,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00030,Borrower_30,695,680123.3,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00031,Borrower_31,352,3957481.1,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00032,Borrower_32,361,118048.34,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00033,Borrower_33,571,402091.97,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00034,Borrower_34,620,1948511.19,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00035,Borrower_35,496,1684072.48,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00036,Borrower_36,524,369603.92,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00037,Borrower_37,607,2412406.49,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00038,Borrower_38,366,2229077.4,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00039,Borrower_39,622,4083185.49,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00040,Borrower_40,414,2083713.66,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00041,Borrower_41,335,2688165.71,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00042,Borrower_42,347,591945.78,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00043,Borrower_43,330,1661744.06,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00044,Borrower_44,796,3762064.79,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00045,Borrower_45,385,2740397.03,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00046,Borrower_46,604,4308093.74,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00047,Borrower_47,399,3667611.95,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00048,Borrower_48,327,1421391.95,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00049,Borrower_49,306,2577242.14,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00050,Borrower_50,325,3475904.15,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00051,Borrower_51,760,2991809.07,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00052,Borrower_52,841,2209722.24,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00053,Borrower_53,375,1273010.65,Personal Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00054,Borrower_54,318,1612460.05,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00055,Borrower_55,423,3076580.75,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00056,Borrower_56,624,2616977.8,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00057,Borrower_57,576,418215.81,Business Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00058,Borrower_58,695,1637150.38,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00059,Borrower_59,632,217964.96,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00060,Borrower_60,375,57231.1,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00061,Borrower_61,669,4027116.43,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00062,Borrower_62,724,2257249.05,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00063,Borrower_63,845,2642728.46,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00064,Borrower_64,386,3374194.76,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00065,Borrower_65,446,2897470.99,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00066,Borrower_66,340,2548158.81,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00067,Borrower_67,300,1585913.34,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00068,Borrower_68,346,3036143.0,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00069,Borrower_69,563,2931771.99,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00070,Borrower_70,398,3134064.2,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00071,Borrower_71,446,4249653.22,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00072,Borrower_72,726,989347.98,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00073,Borrower_73,461,1578221.48,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00074,Borrower_74,364,2059819.86,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00075,Borrower_75,784,1076234.15,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00076,Borrower_76,705,4876439.77,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00077,Borrower_77,717,814322.01,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00078,Borrower_78,536,152821.84,Home Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00079,Borrower_79,560,3805649.85,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00080,Borrower_80,530,3391506.03,Personal Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00081,Borrower_81,563,1070448.7,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00082,Borrower_82,487,118337.01,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00083,Borrower_83,678,3755392.59,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00084,Borrower_84,727,2754078.38,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00085,Borrower_85,818,2215588.33,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00086,Borrower_86,413,4763287.6,Auto Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00087,Borrower_87,616,4201837.07,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00088,Borrower_88,452,2426733.48,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00089,Borrower_89,325,1145283.14,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00090,Borrower_90,559,3434091.32,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00091,Borrower_91,665,802663.0,Business Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00092,Borrower_92,539,2476208.3,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00093,Borrower_93,464,2305933.6,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00094,Borrower_94,678,4312229.04,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00095,Borrower_95,510,1143060.57,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00096,Borrower_96,351,3661402.91,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00097,Borrower_97,564,4449036.67,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00098,Borrower_98,634,3321295.87,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00099,Borrower_99,629,3472647.97,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00100,Borrower_100,642,1768980.23,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00101,Borrower_101,379,1060500.52,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00102,Borrower_102,329,2065563.76,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00103,Borrower_103,479,3991978.52,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00104,Borrower_104,506,4988811.09,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00105,Borrower_105,822,3783961.05,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00106,Borrower_106,632,4750597.75,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00107,Borrower_107,395,4740926.44,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00108,Borrower_108,425,4236530.81,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00109,Borrower_109,582,3119445.93,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00110,Borrower_110,656,4898831.52,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00111,Borrower_111,579,4285823.99,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00112,Borrower_112,666,66013.45,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00113,Borrower_113,460,2812250.46,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00114,Borrower_114,447,4380025.26,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00115,Borrower_115,783,4012429.65,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00116,Borrower_116,592,467126.66,Business Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00117,Borrower_117,465,657993.12,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00118,Borrower_118,560,1960249.14,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00119,Borrower_119,504,85677.75,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00120,Borrower_120,382,3406269.44,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00121,Borrower_121,321,593154.14,Education Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00122,Borrower_122,632,1272350.57,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00123,Borrower_123,592,2479282.13,Personal Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00124,Borrower_124,330,3917693.22,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00125,Borrower_125,681,3976940.0,Auto Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00126,Borrower_126,431,2176652.25,Home Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00127,Borrower_127,842,3202436.75,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00128,Borrower_128,601,3986904.61,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00129,Borrower_129,764,762907.53,Home Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00130,Borrower_130,553,2292717.6,Home Loan,Medium
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00131,Borrower_131,362,3991095.37,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00132,Borrower_132,338,1348199.28,Auto Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00133,Borrower_133,632,4678260.78,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00134,Borrower_134,522,4620612.54,Auto Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00135,Borrower_135,599,1717105.38,Business Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00136,Borrower_136,312,3459814.08,Personal Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00137,Borrower_137,657,3419820.1,Education Loan,High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00138,Borrower_138,326,1930935.32,Education Loan,Very High
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00139,Borrower_139,839,4084097.62,Education Loan,Low
Risk Management,Risk and Compliance Operations,Credit Risk Management,Assess borrower creditworthiness,Risk Value,Customer Risk Data,Assess borrower creditworthiness,CUST00140,Borrower_140,730,1158670.13,Education Loan,Medium
