Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Department,Region,Transaction Amount (USD),Risk Level,Alert Status,Transaction Date,Reviewed By,Customer Country,Remarks
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,AML Data,Review Alerts,100b04f6-ce8c-46e7-9c0d-69b220e941ff,638827,Fraud Detection,Americas,14188.76,Medium,Confirmed Suspicious,2025-04-20,Jonathon White,Czech Republic,War message key customer difficult design.
Compliance Oversight,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Compliance Data,Screen Customer Transactions,0ab95963-3c24-47c4-8f50-5ae62d66eb72,680687,Fraud Detection,Americas,70009.57,Low,Escalated,2025-08-27,Kimberly Gregory,Bolivia,City size such positive both.
Risk Management,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,AML Data,Screen Customer Transactions,d82c8bc8-c438-45c9-a31e-2e66f23cfed6,688060,Fraud Detection,EMEA,21817.86,Medium,Confirmed Suspicious,2025-06-03,Lauren Berry,Palau,Stage sit hotel student draw.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,AML Data,Screen Customer Transactions,77b00e18-4fe6-4a54-8cc6-35d5b0515342,217777,Operations,Americas,39016.16,Low,Escalated,2025-09-02,Jeffrey Gordon,Saint Lucia,Generation executive concern test perform from.
Risk Management,AML Operations,Customer Risk Review,Identify Suspicious Activities,Security,AML Data,Flag Suspicious Transactions,a913a9ae-0543-46db-b5b0-4d74fdefc70c,861795,Risk,EMEA,84966.49,Medium,Confirmed Suspicious,2025-04-30,Cory Galloway,Taiwan,Audience any name another way but marriage.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,AML Data,Screen Customer Transactions,a485e8fc-9c34-4d53-ad05-3079b152ed9a,740478,Risk,APAC,63942.1,Medium,Escalated,2025-05-27,Sally Humphrey,Australia,Fund second spring.
Financial Crime Prevention,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Security,Compliance Data,Flag Suspicious Transactions,1ad9b0fa-5d70-45eb-8072-4f17cca30d0a,256341,Fraud Detection,Americas,89413.27,Low,Escalated,2025-02-18,Roy Rice,Rwanda,Account relationship activity capital trip.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,Transaction Data,Review Alerts,50530fa2-2ae0-45cd-a8e0-46408491ecea,575822,Fraud Detection,Americas,88655.62,Medium,Confirmed Suspicious,2025-04-28,Gwendolyn Smith,Croatia,Draw happen property carry who prepare play.
Risk Management,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Transaction Data,Flag Suspicious Transactions,6ca87954-6271-4076-b37d-a5159a0594af,989818,Operations,APAC,22062.1,High,Escalated,2025-06-21,Mr. Jacob Hunter,Bolivia,What sit model show traditional.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,AML Data,Flag Suspicious Transactions,b86b96bb-328b-469d-a272-3e4ddfbac975,898834,Compliance,Americas,34205.56,Critical,Escalated,2025-07-28,Martin Solis,Timor-Leste,Painting weight simply at.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,AML Data,Flag Suspicious Transactions,2f4544c7-52a8-43d7-b8c8-a26f7ec6daf2,316735,Risk,EMEA,22479.44,High,Pending Review,2025-04-21,Heather Daugherty,Pitcairn Islands,Listen specific rich ago.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Compliance,Transaction Data,Review Alerts,3c50e0b7-5c1d-4dbe-9743-56abbd8fe5a9,626357,Operations,EMEA,15726.33,Critical,Pending Review,2025-08-17,Amy Acosta,Spain,Career character level wall hair every.
Compliance Oversight,AML Operations,Customer Risk Review,Screen Customer Transactions,Compliance,AML Data,Screen Customer Transactions,aca48d63-cb7a-4ff5-93a8-5c10fd6aa5f8,292625,Fraud Detection,Americas,64957.27,Medium,Confirmed Suspicious,2025-01-31,Donna Myers,Palau,Development environmental body treatment phone particular.
Financial Crime Prevention,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,AML Data,Screen Customer Transactions,c0a38c86-c410-4c6b-aa2a-42f380fe63b1,794856,Compliance,APAC,15745.17,Medium,Cleared,2025-05-28,Samantha King,Portugal,Free home protect feeling.
Compliance Oversight,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,AML Data,Review Alerts,f292fb32-e38f-406f-8e65-899794ca4971,284376,Operations,EMEA,35635.99,Low,Confirmed Suspicious,2025-02-07,Nicholas Berg,Netherlands,Finally lead picture anything daughter.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,AML Data,Flag Suspicious Transactions,25029dae-9ff7-45b4-9525-6787a053afef,987302,Operations,EMEA,98854.73,Critical,Cleared,2025-07-23,David Conner,Barbados,Religious evening attention camera cover.
Risk Management,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,Compliance Data,Review Alerts,c6f9818a-26f4-4a33-a593-45b373d6e2f4,180541,Compliance,Americas,14497.06,Medium,Pending Review,2025-01-28,Victoria Mejia,Somalia,Meet economic out measure leader break.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,Transaction Data,Flag Suspicious Transactions,4bdc3c2d-ade1-4048-ade9-7697357fca52,448581,Compliance,Americas,4706.5,Critical,Cleared,2025-10-03,Edward Gray DDS,Georgia,Teach garden guess turn.
Risk Management,AML Operations,Customer Risk Review,Identify Suspicious Activities,Security,AML Data,Screen Customer Transactions,3d3ea256-f22b-49fe-bea8-00e2191739a6,711085,Fraud Detection,Americas,99204.87,Medium,Pending Review,2025-02-21,Cheryl Phillips,Kuwait,Whose election social.
Compliance Oversight,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Review Alerts,53083cf2-cfee-4975-9964-684e5019fb95,488575,Compliance,Americas,73171.38,Medium,Cleared,2025-03-06,Jeffrey Sandoval,Cook Islands,Land interest reflect let wife.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Security,Compliance Data,Screen Customer Transactions,a8fc420c-4bc4-4c17-a3f6-c1cd55a82be0,294454,Compliance,EMEA,89812.97,High,Cleared,2025-09-20,Billy Salazar,Bermuda,Must smile eight.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Compliance Data,Flag Suspicious Transactions,038fdc50-2c3c-49ea-9357-aa2e245ce5e9,988052,Risk,APAC,99269.16,High,Cleared,2025-05-11,Lisa Mendez,Northern Mariana Islands,Manage value ago still still partner attack.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,AML Data,Flag Suspicious Transactions,afe14934-d66a-4ae9-8293-956d81992e1c,671676,Compliance,APAC,40604.11,Critical,Pending Review,2025-07-21,Jeffery Young,Turkmenistan,Growth around generation exist.
Compliance Oversight,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Security,AML Data,Review Alerts,f0e91c51-a8ad-430e-89ba-816deac3230c,122746,Operations,Americas,70108.34,Low,Cleared,2025-08-22,Mr. Larry Ross,Congo,Man ten finish.
Risk Management,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Risk Prevention,Compliance Data,Screen Customer Transactions,58704bab-d882-40f1-99da-be51a06c3bb1,314911,Fraud Detection,Americas,96757.54,Critical,Pending Review,2025-03-07,Latasha Acosta,Seychelles,Late fear dark never and financial.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,AML Data,Review Alerts,41ff7075-717f-4e65-be78-721dcdba7366,724769,Fraud Detection,Americas,12165.17,Medium,Escalated,2025-04-16,Daniel Harris,United States Minor Outlying Islands,Continue budget old middle try energy.
Risk Management,Fraud and Risk Control,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,Compliance Data,Flag Suspicious Transactions,6563544e-5b47-49b0-85c1-9c76e25215e7,423549,Compliance,Americas,74303.86,High,Cleared,2025-06-04,Timothy Whitehead,Saint Kitts and Nevis,Others bank where cut base if worry hit.
Compliance Oversight,AML Operations,Customer Risk Review,Identify Suspicious Activities,Compliance,Transaction Data,Review Alerts,3379f352-aa8b-4465-ad74-6bd3a4a321b1,759575,Risk,APAC,85728.41,High,Pending Review,2025-06-30,Victor Brown,Philippines,Action happy term writer occur movement.
Compliance Oversight,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,Compliance Data,Review Alerts,ffc4d385-9174-4e33-b882-e680a6e9550a,616063,Fraud Detection,EMEA,49466.85,Medium,Pending Review,2025-09-07,Seth Zimmerman,Costa Rica,Something interest goal.
Compliance Oversight,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Screen Customer Transactions,82485a93-3997-4dea-9c86-a66ca0189cf8,868948,Operations,Americas,58952.38,Medium,Pending Review,2025-08-15,Nicholas Davis,Greece,Grow positive short free.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,Transaction Data,Screen Customer Transactions,4a5f3d64-3920-435e-bc37-008d2e1eb227,331134,Fraud Detection,EMEA,39321.08,Medium,Cleared,2025-04-04,Robert Thomas,Zambia,Citizen management born want tonight.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Flag Suspicious Transactions,321fe747-e90e-49c2-a11d-4a4eb4338460,762317,Compliance,Americas,61059.84,Medium,Confirmed Suspicious,2025-07-06,Kimberly Price,Kazakhstan,Decide professor lead than ever up choose.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,Compliance Data,Screen Customer Transactions,d61b0943-7c4d-451e-8996-21a2bc62c141,715433,Risk,EMEA,91568.13,Medium,Pending Review,2025-01-01,John Solomon,Australia,Fear cultural believe individual perhaps artist industry reduce.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,AML Data,Flag Suspicious Transactions,7e4fecd1-f61c-4b83-be57-c39b33f7c2df,453379,Compliance,Americas,68324.59,Low,Pending Review,2025-07-19,Brittany Gonzales DVM,Paraguay,Include continue treat physical what pick expect protect.
Risk Management,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Compliance,AML Data,Flag Suspicious Transactions,132cd904-89d2-4e81-bf5a-18b0deed4ec6,515667,Operations,APAC,16415.55,Critical,Escalated,2025-05-07,Carmen King,Cayman Islands,Really production real theory source discover see.
Financial Crime Prevention,AML Operations,Customer Risk Review,Screen Customer Transactions,Risk Prevention,AML Data,Screen Customer Transactions,304e10c5-07a6-43b4-b7e4-8f42f9c0803d,491479,Risk,Americas,52894.49,Critical,Cleared,2025-05-15,Mr. Darryl Mccoy MD,Russian Federation,Movie avoid believe management help.
Compliance Oversight,Fraud and Risk Control,Customer Risk Review,Identify Suspicious Activities,Security,Transaction Data,Screen Customer Transactions,9de6777a-2f39-429e-85a6-97c9dfeb9268,402636,Fraud Detection,EMEA,30726.82,High,Escalated,2025-02-04,Robert Allen,Comoros,Than garden night sometimes raise show available.
Compliance Oversight,Fraud and Risk Control,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,AML Data,Flag Suspicious Transactions,a33884fa-afcf-4058-a2f9-bf1883ac9d93,452171,Operations,EMEA,95158.46,Critical,Cleared,2025-07-21,April Ortiz,Swaziland,Car pass need grow bill push sea.
Compliance Oversight,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,AML Data,Review Alerts,41b1971a-2082-4fd3-bcb1-a8387793bebe,577054,Compliance,Americas,93732.6,High,Escalated,2025-04-22,Leslie Young,Gambia,Section power read treat college bag ready art.
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Risk Prevention,AML Data,Review Alerts,a9a6706a-155c-40da-8377-3a7432f379a2,890639,Fraud Detection,EMEA,8820.99,Low,Escalated,2025-10-09,Gary Day,Vietnam,Four feel military really current they.
Compliance Oversight,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Screen Customer Transactions,421a94f8-e95b-4867-b23e-84f7e25aaa7d,862942,Operations,APAC,38523.63,Medium,Confirmed Suspicious,2025-03-06,Hannah Quinn,Svalbard & Jan Mayen Islands,Material water either agree apply old try.
Financial Crime Prevention,Fraud and Risk Control,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Compliance Data,Screen Customer Transactions,b94320c7-c57f-40c7-b845-349aecbf2fa6,851283,Risk,APAC,3923.4,High,Pending Review,2025-07-17,Andrew Greene,Australia,More animal thought keep on Congress.
Compliance Oversight,Risk and Compliance Operations,Transaction Surveillance,Screen Customer Transactions,Security,Transaction Data,Review Alerts,67166006-154d-488e-a368-4a3736eee7a6,474275,Compliance,EMEA,87520.05,Low,Cleared,2025-06-04,Joe Hodge,Sri Lanka,Quickly language consumer yes.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,AML Data,Screen Customer Transactions,f17a17a1-094c-41f6-a6bd-93a234e4157f,242846,Compliance,Americas,88761.05,Low,Cleared,2025-06-21,Katherine Logan,Ecuador,These help door quickly various red Mr.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Flag Suspicious Transactions,2158b522-9459-4a12-880b-5bfcc3ea4886,476054,Compliance,APAC,44714.1,Low,Pending Review,2025-08-17,Kenneth Powell,Iraq,Cause water mind military indicate.
Compliance Oversight,AML Operations,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,Transaction Data,Review Alerts,0a5f42d2-8f5c-46b1-9366-0558d5387f28,949615,Compliance,EMEA,43414.87,Critical,Cleared,2025-10-14,Richard Newton Jr.,Marshall Islands,Religious institution state chair economy.
Financial Crime Prevention,Risk and Compliance Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,AML Data,Review Alerts,12eb6e26-4a6f-436d-9b58-1446b061be71,321643,Risk,EMEA,36228.37,High,Confirmed Suspicious,2025-05-05,Christina Galloway,Armenia,Network where seven career.
Financial Crime Prevention,AML Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Compliance,Transaction Data,Screen Customer Transactions,a82a59bb-e4d0-4b49-8604-f6f4e9512f89,108673,Operations,Americas,23614.7,Low,Pending Review,2025-02-23,Austin Williams,Micronesia,Expert boy simply feeling me without eat.
Compliance Oversight,Fraud and Risk Control,Transaction Surveillance,Identify Suspicious Activities,Compliance,Compliance Data,Flag Suspicious Transactions,ac550fc3-d2a0-4c1a-ad85-910524b41f2c,554430,Risk,Americas,25490.83,High,Confirmed Suspicious,2025-08-01,Candace Hall,Ukraine,Attention seek stand lot.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security,AML Data,Flag Suspicious Transactions,56b6b86c-3189-492b-8c8b-e4158542f8c9,565700,Compliance,APAC,33766.32,Low,Cleared,2025-01-03,Judy Sheppard,Chad,Claim gas billion treatment order establish heart.
Compliance Oversight,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Risk Prevention,Compliance Data,Review Alerts,5ae6bcbc-a27d-4ba6-a7cd-b1f078900675,846382,Fraud Detection,EMEA,4112.35,High,Confirmed Suspicious,2025-08-20,Justin Anderson,Montserrat,Majority describe political could surface begin.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Monitor High-Risk Accounts,Risk Prevention,Compliance Data,Review Alerts,46e9529a-bd24-4795-99f5-f027057773b5,578953,Compliance,APAC,87117.62,Critical,Pending Review,2025-08-17,Nicole Joseph,Hong Kong,Else section call approach back garden effect.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Screen Customer Transactions,Security,AML Data,Flag Suspicious Transactions,c4179bac-8844-4b6b-a4a0-48c6c5a2ffab,442681,Risk,EMEA,33901.67,Medium,Confirmed Suspicious,2025-10-03,Michele Olson,Burundi,Performance grow kid remember.
Financial Crime Prevention,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Security,AML Data,Review Alerts,b2f4cf05-ff7f-4d8d-9d1c-91c7246db58c,276371,Compliance,Americas,58751.21,High,Escalated,2025-10-06,Kelsey Leach,Honduras,Material beyond knowledge own.
Financial Crime Prevention,Risk and Compliance Operations,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,Transaction Data,Review Alerts,4b569ef8-fc77-4b8e-aa15-c2e97bd7e78d,145178,Compliance,EMEA,3741.09,Medium,Escalated,2025-01-06,Amber Jacobs,Bangladesh,Store financial remain.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,Compliance Data,Flag Suspicious Transactions,3e462775-1612-45ce-9d55-0c1e9ef0322d,566379,Fraud Detection,EMEA,35428.74,Critical,Pending Review,2025-02-11,Nancy Mcclure,Anguilla,Total other stuff expert type.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,AML Data,Review Alerts,c420c39f-0ece-438d-8e65-5e792e15c5f0,402451,Operations,APAC,82672.17,Medium,Escalated,2025-01-30,Daniel Rogers,Austria,Factor leave each medical despite.
Risk Management,Fraud and Risk Control,Anti Money Laundering Monitoring,Monitor High-Risk Accounts,Security,Transaction Data,Flag Suspicious Transactions,d6cbd6e6-9cc9-47c0-9507-f15dc78079c1,902078,Operations,APAC,85129.34,Critical,Escalated,2025-06-16,Russell Payne DVM,Chad,Talk some shoulder in.
Risk Management,Fraud and Risk Control,Customer Risk Review,Screen Customer Transactions,Security,Compliance Data,Review Alerts,25e1761c-f612-4014-b883-d71f74a55a94,748712,Operations,EMEA,80539.47,Critical,Confirmed Suspicious,2025-08-05,Kyle Webb DDS,Belarus,Allow operation able shoulder.
Financial Crime Prevention,AML Operations,Transaction Surveillance,Identify Suspicious Activities,Compliance,Transaction Data,Screen Customer Transactions,c49e5f3d-7637-4456-956c-a8acced6a2df,359693,Compliance,Americas,92148.44,Low,Escalated,2025-02-26,Gregory Norris,Andorra,Program born institution beat face.
Financial Crime Prevention,Risk and Compliance Operations,Transaction Surveillance,Monitor High-Risk Accounts,Compliance,Transaction Data,Flag Suspicious Transactions,615935f0-b770-43a7-8976-05d19958c076,988178,Operations,Americas,68186.2,Medium,Pending Review,2025-06-13,Jeffrey Ellis,China,Than spend opportunity become staff consumer how home.
Compliance Oversight,AML Operations,Transaction Surveillance,Screen Customer Transactions,Risk Prevention,Transaction Data,Review Alerts,d82cb9e0-1e42-482f-81ec-ae9947e09db2,735741,Operations,APAC,55735.07,Medium,Pending Review,2025-06-18,Kelly Benson,Comoros,Democrat activity capital listen information now feeling.
Risk Management,AML Operations,Customer Risk Review,Monitor High-Risk Accounts,Compliance,Compliance Data,Flag Suspicious Transactions,964caf28-412a-4db7-b4a7-4544eb673357,833780,Compliance,APAC,18949.97,Critical,Confirmed Suspicious,2025-07-20,Jeffrey Parker,Lithuania,Human animal represent billion.
Compliance Oversight,AML Operations,Customer Risk Review,Identify Suspicious Activities,Risk Prevention,Compliance Data,Screen Customer Transactions,c91fd320-6a2e-4670-9e9c-1db2bd95882d,404682,Risk,EMEA,47010.15,Low,Cleared,2025-10-09,Luke Miller,China,Better ball Congress black none second maybe.
Financial Crime Prevention,Fraud and Risk Control,Anti Money Laundering Monitoring,Identify Suspicious Activities,Compliance,Compliance Data,Flag Suspicious Transactions,9f5b4ced-35ba-4d27-bf0d-4d36883a2e47,149646,Risk,APAC,30515.29,Critical,Confirmed Suspicious,2025-10-14,Denise Campos,Romania,Indeed kitchen billion industry girl.
Risk Management,Risk and Compliance Operations,Transaction Surveillance,Screen Customer Transactions,Compliance,Transaction Data,Flag Suspicious Transactions,f0d64e3c-596c-47ee-81f7-66204ea6e4ae,850823,Risk,EMEA,34365.33,Critical,Pending Review,2025-04-28,James Phelps,Azerbaijan,Space letter response.
