Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Report ID,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Account Type,Region,AML Risk Score,Report Status,Reported By,Report Date
Risk Management,Fraud Management,AML Reporting,Investigate Alerts,Security Value,Transaction Data,Investigate Alerts,dcab3e37-fc24-4891-bfda-b97ac7ed6e7b,31f710d1-344e-42df-a882-35ba098f1aae,7840,37152.93,POS,Corporate,EMEA,28.14,Pending Review,Steven Wong,2025-02-08
Financial Crime Risk,Fraud Management,AML Reporting,Screen Customer Transactions,Compliance,Audit Data,Reports Suspicious Activities,863a67c2-ce01-42a0-a269-a3775a9b6042,3ce19a97-e56c-4055-9426-ee4c2b228ad8,9120,82644.54,Wire Transfer,Corporate,Americas,8.29,Investigated,Randall Perez,2025-06-06
Operational Risk,Fraud Management,Fraud Detection,Investigate Alerts,Operational Oversight,Compliance Data,Monitor Transactions,331bb1aa-baff-4edb-998b-3dbc62360b44,0684ceff-44e4-4730-9a48-6ed35bacca5b,4522,67791.07,ATM,Current,Americas,36.67,Investigated,Kaitlyn May,2025-02-28
Operational Risk,Fraud Management,Anti Money Laundering Monitoring,Investigate Alerts,Compliance,Compliance Data,Reports Suspicious Activities,deec1f0e-9f9d-4dba-90c8-8d4f215e3b22,46fef60f-85b8-4289-8064-2264ea49e1d7,9520,50273.25,Online,Current,Americas,50.79,Pending Review,Catherine Lara,2025-07-19
Operational Risk,Fraud Management,AML Reporting,Screen Customer Transactions,Security Value,Compliance Data,Investigate Alerts,41f2a6b6-c7c8-4d64-b112-7ecd63acebc5,b87ae4a1-54bb-4555-8646-8f384acd8339,2324,30200.02,Online,Savings,Americas,94.51,Closed,Anthony Hays,2025-06-18
Operational Risk,Risk and Compliance Operations,Fraud Detection,Investigate Alerts,Compliance,Compliance Data,Monitor Transactions,ef26eaa1-969c-4f4b-9d7e-c2c6d70885e3,e9f29d50-d44c-44ff-9cfc-68f54cb749c0,3137,40406.95,POS,Savings,APAC,10.69,Pending Review,Brent Nguyen,2025-09-08
Financial Crime Risk,Risk and Compliance Operations,AML Reporting,Reports Suspicious Activities,Compliance,Compliance Data,Monitor Transactions,b285290b-a66d-4610-a6e8-bc9e750550b0,be99c5e6-78de-4c4a-89bf-fbbf7081c1d6,4651,53327.88,Wire Transfer,Savings,APAC,28.24,Closed,Cody Carr,2025-04-12
Operational Risk,Fraud Management,AML Reporting,Reports Suspicious Activities,Security Value,Compliance Data,Monitor Transactions,58bfcc5a-b6d7-466b-863a-afa679c8de9a,0b577f8c-dec1-4292-9cdf-144f52eb7e69,7818,64858.26,Online,Current,Americas,77.8,Investigated,Janet Mack,2025-07-22
Risk Management,AML Operations,Anti Money Laundering Monitoring,Investigate Alerts,Security Value,Audit Data,Investigate Alerts,ebc75bf3-6afa-4ed1-8ae5-3aaf0ad4a658,b08a25f6-3ca5-4c1f-88b5-ed065a0fb604,9673,92009.69,Online,Savings,APAC,31.57,Pending Review,Alice Smith,2025-05-11
Operational Risk,AML Operations,Anti Money Laundering Monitoring,Investigate Alerts,Operational Oversight,Audit Data,Investigate Alerts,d5611f58-d025-454d-a3d9-a539b054968b,50cb5c66-4e96-4eb7-ba11-6d938e070764,8861,63072.4,ATM,Corporate,APAC,22.14,Pending Review,Breanna Mack,2025-01-09
Financial Crime Risk,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Audit Data,Reports Suspicious Activities,85caca67-bc4e-456b-9f5f-7a45bde41a2c,fedbd0c2-51b7-451d-a465-8719f1fb35f5,1032,81563.52,POS,Savings,Americas,81.05,Investigated,Elizabeth Clark,2025-03-15
Operational Risk,Fraud Management,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Audit Data,Monitor Transactions,ee836c68-efa0-4eed-b759-08ce717e2a9e,d16d4b27-f463-4135-9498-ccb351c946c3,7724,63557.08,ATM,Corporate,Americas,92.52,Closed,Keith Bentley,2025-10-03
Financial Crime Risk,Risk and Compliance Operations,Fraud Detection,Screen Customer Transactions,Security Value,Transaction Data,Monitor Transactions,80f5c40a-a264-4063-8d44-374007dc5f37,f51535f9-c462-4663-bb22-de14fa38b0c3,9082,71808.46,POS,Savings,Americas,27.09,Closed,Gloria Jackson,2025-04-06
Risk Management,AML Operations,Anti Money Laundering Monitoring,Investigate Alerts,Security Value,Transaction Data,Investigate Alerts,fa71aaaf-ee9b-4220-a5ba-b9c2ee72e4d1,e5866071-f2a1-4e31-8803-ad207ff74155,3156,75609.59,ATM,Current,EMEA,37.67,Filed,Nicholas Payne,2025-01-22
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security Value,Compliance Data,Investigate Alerts,00068dee-dc26-4d30-a4a9-d838133d7e5e,71e02b89-8085-47f0-a42b-4d8352184e9c,6435,32524.81,ATM,Savings,APAC,44.09,Investigated,Clinton Burch,2025-04-25
Financial Crime Risk,AML Operations,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Compliance Data,Monitor Transactions,8601e306-3d45-4a2f-b61c-683dd2e63167,1f641da0-d9f6-4c8e-b270-6e466cf97f31,1137,98248.77,Online,Current,Americas,2.16,Filed,Larry Smith,2025-02-01
Financial Crime Risk,AML Operations,AML Reporting,Screen Customer Transactions,Compliance,Audit Data,Monitor Transactions,4c87ddb7-d313-450f-b7a0-5c0cba305aa7,f86f4b24-4e11-4135-80ed-d36d9eab43c7,4870,93483.85,Wire Transfer,Current,EMEA,39.45,Investigated,Christine Dorsey,2025-10-09
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Operational Oversight,Audit Data,Investigate Alerts,d28d9972-8198-4228-aaac-7a3ae93f1f6d,9298e2bd-215b-4c5a-bfbf-dda0959e2557,5541,7812.2,Online,Current,Americas,93.61,Pending Review,Timothy Murray,2025-02-16
Operational Risk,Risk and Compliance Operations,AML Reporting,Reports Suspicious Activities,Security Value,Compliance Data,Monitor Transactions,afc00acc-de45-40f6-8bb1-559ed8677310,d2753956-6088-47d5-b8ba-519d7c69e4a9,9131,29550.82,ATM,Current,Americas,30.38,Filed,George Kent,2025-07-05
Operational Risk,Fraud Management,AML Reporting,Reports Suspicious Activities,Compliance,Audit Data,Investigate Alerts,0b870c88-14dc-48b1-8aae-0b75b24411e2,e8fd5ca8-67ae-4471-8d93-57a7574ff57a,2447,62400.38,POS,Savings,APAC,55.94,Filed,Daniel Bush,2025-08-16
Financial Crime Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Security Value,Transaction Data,Reports Suspicious Activities,4d280a20-d47c-4a2f-a64c-b5993397cb39,322b462e-13de-460e-9fb4-4dd145eea956,6089,2920.08,POS,Current,APAC,66.49,Closed,Kristi Rose,2025-01-28
Operational Risk,AML Operations,Fraud Detection,Screen Customer Transactions,Operational Oversight,Audit Data,Monitor Transactions,34626a37-7f60-4742-a8a7-e176cca2496e,2aba2c97-e97f-4914-8670-6bc97b28d1b5,6500,5023.45,Wire Transfer,Current,Americas,46.25,Investigated,Veronica Lee PhD,2025-04-03
Financial Crime Risk,AML Operations,Fraud Detection,Investigate Alerts,Security Value,Compliance Data,Monitor Transactions,76aa54b7-ee07-488d-b260-168a7a924d2b,27662866-3590-438d-bc37-5bdce90bbf90,7707,86774.31,ATM,Corporate,Americas,64.19,Filed,Alexis Perez,2025-08-09
Operational Risk,Risk and Compliance Operations,AML Reporting,Investigate Alerts,Security Value,Audit Data,Investigate Alerts,3fd8f459-3c0c-4c7e-9181-a23df0054469,cca7808c-fbf0-40ac-b240-d86a73edb34e,7521,47870.99,Online,Current,Americas,55.9,Pending Review,Michael Elliott,2025-07-31
Operational Risk,AML Operations,AML Reporting,Screen Customer Transactions,Operational Oversight,Compliance Data,Monitor Transactions,2ac22c85-f3ef-458f-8ac1-b538818c0a16,6e26e5c0-da2e-4360-96de-ddc74d90e01e,7176,75302.97,Online,Corporate,EMEA,49.85,Pending Review,Mia Jacobs,2025-07-16
Financial Crime Risk,Fraud Management,Fraud Detection,Screen Customer Transactions,Security Value,Transaction Data,Investigate Alerts,c1e800cb-cd04-4092-bc62-005a5880683b,ab1231d2-6a9a-4f06-80d4-bd5b773ca74d,2086,32487.04,Wire Transfer,Savings,EMEA,54.39,Filed,Peter Jackson,2025-08-11
Operational Risk,Risk and Compliance Operations,AML Reporting,Screen Customer Transactions,Compliance,Audit Data,Investigate Alerts,be2ba412-65b7-4585-824f-e1867f7c0884,b9f45c7b-fb7c-43d0-b4dd-e2cf53cf618d,4556,53206.24,Wire Transfer,Corporate,EMEA,94.39,Closed,Justin Fleming,2025-09-28
Operational Risk,Fraud Management,Anti Money Laundering Monitoring,Screen Customer Transactions,Operational Oversight,Transaction Data,Monitor Transactions,0aaaef56-5988-4780-b719-484c0baff82c,1f252557-be46-480f-9651-200fa4388790,7688,45941.56,Online,Savings,Americas,6.27,Pending Review,Steven Hunter,2025-02-10
Operational Risk,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Security Value,Transaction Data,Reports Suspicious Activities,d30184bd-8fc6-4edd-aed1-5b2638dfbab3,28c3681f-3a95-4c04-80fe-59f2bcf08244,6303,20098.19,Online,Current,APAC,10.44,Closed,Tina Harding,2025-02-17
Financial Crime Risk,Risk and Compliance Operations,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Transaction Data,Monitor Transactions,1873dcb1-aaaa-4b2c-adb7-c0c385e04a29,f0c3d91c-de86-4e2c-8dd0-72b6dcadc203,2697,41391.56,POS,Corporate,APAC,88.5,Closed,Jessica Price,2025-04-13
Risk Management,Fraud Management,Fraud Detection,Investigate Alerts,Operational Oversight,Compliance Data,Investigate Alerts,c8da1361-e2f5-445f-ab68-c3f87ec5c222,cec3938f-a4db-4330-8eff-13aa9c6dcf79,3397,70268.16,Wire Transfer,Current,Americas,13.07,Investigated,Nina Weiss,2025-02-20
Financial Crime Risk,Risk and Compliance Operations,Fraud Detection,Screen Customer Transactions,Compliance,Transaction Data,Investigate Alerts,9ef26315-426d-4790-a5d7-bb2cb2076e60,ea6e6f7f-50b6-4aa4-9127-d4fc1c3ad604,4131,76337.22,Wire Transfer,Current,APAC,58.42,Closed,Mr. Gregory Fisher,2025-08-25
Risk Management,Fraud Management,Anti Money Laundering Monitoring,Investigate Alerts,Compliance,Transaction Data,Investigate Alerts,bf3d5e7d-7111-4b7c-b9a1-cdbc795c9f0c,d84b56d0-f1a1-4db6-b86c-8f4cbd12b02d,5726,7671.43,ATM,Current,Americas,30.4,Investigated,Michael Gray,2025-01-20
Operational Risk,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Security Value,Compliance Data,Reports Suspicious Activities,fc0c04e3-2041-4ac3-b033-572ab6f19794,65164875-1de8-4ff0-838c-14f1313ba424,4657,10737.39,Online,Savings,EMEA,97.36,Investigated,Juan Dominguez,2025-08-08
Financial Crime Risk,Fraud Management,Anti Money Laundering Monitoring,Reports Suspicious Activities,Compliance,Transaction Data,Monitor Transactions,cd721f7c-c8cd-4b95-9fb7-bd42f89109aa,d35b5395-c6e4-4317-83cd-6bbf527be358,9377,48008.01,Online,Savings,EMEA,93.17,Closed,Katherine Robinson,2025-04-28
Operational Risk,Risk and Compliance Operations,AML Reporting,Investigate Alerts,Compliance,Audit Data,Monitor Transactions,0bbd3c6e-6715-4963-b628-4dea9760fcab,24b1389a-c1e5-47fb-885f-62a07d3d28fa,1519,17003.93,POS,Savings,EMEA,45.85,Pending Review,Christopher Contreras,2025-05-24
Financial Crime Risk,Risk and Compliance Operations,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Compliance Data,Reports Suspicious Activities,1c5d3fcf-a94c-4fb0-afa1-b248416461bb,34c08ae2-4ed0-46e3-ba47-7999b1a9412b,1813,48880.41,Wire Transfer,Savings,Americas,19.62,Pending Review,Sharon Campos,2025-02-16
Risk Management,AML Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Operational Oversight,Compliance Data,Reports Suspicious Activities,bf7eef15-4780-44e6-97e0-cde9eb889fdc,a194c397-036e-4be8-bba5-98969b69457e,8837,72917.74,Wire Transfer,Current,APAC,46.75,Investigated,Angel Franklin,2025-09-19
Financial Crime Risk,AML Operations,Fraud Detection,Reports Suspicious Activities,Security Value,Transaction Data,Monitor Transactions,a21d5e55-5c63-41ae-bfd6-7ab029ecc668,75807e4f-9e75-4775-b49e-162da90e5be9,3429,56802.42,POS,Savings,APAC,71.86,Filed,Donald Hoover,2025-08-07
Operational Risk,AML Operations,Fraud Detection,Reports Suspicious Activities,Compliance,Audit Data,Monitor Transactions,96f4c9fe-e644-4481-841a-ed157ead3653,ca930bf4-ca3b-4d98-a647-2f3f51fb0a3f,5853,40319.34,Online,Savings,Americas,61.38,Closed,Tony Turner,2025-07-27
Operational Risk,Risk and Compliance Operations,Fraud Detection,Reports Suspicious Activities,Security Value,Compliance Data,Reports Suspicious Activities,62061a83-3258-4377-9972-7ee22aa3fb74,000f46ec-925f-44d1-9fc3-c93356483251,1261,21132.93,POS,Current,Americas,32.75,Filed,Andre West,2025-06-30
Risk Management,AML Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Operational Oversight,Audit Data,Monitor Transactions,4fe571db-416f-4475-80a3-47673ce283f0,536e12ff-5605-4c4c-983c-22f3bc7db6be,5293,43901.07,Online,Corporate,EMEA,16.9,Investigated,Courtney Henry,2025-09-22
Risk Management,Fraud Management,Fraud Detection,Reports Suspicious Activities,Security Value,Transaction Data,Reports Suspicious Activities,34260be2-0d2d-4023-992a-8f1447fed530,b777b74a-f3de-4ea8-99e8-5efe750d7343,9457,32683.38,POS,Current,EMEA,76.42,Pending Review,Megan Weaver,2025-03-30
Operational Risk,AML Operations,Fraud Detection,Investigate Alerts,Operational Oversight,Audit Data,Investigate Alerts,e2c955bb-4bd2-4cf6-8f54-d1cb3b9e5937,a1ab5b80-0cb3-439b-b08a-4c5647ab95ee,4509,69126.35,ATM,Corporate,EMEA,42.21,Closed,Meredith Moore,2025-09-27
Operational Risk,AML Operations,AML Reporting,Screen Customer Transactions,Compliance,Transaction Data,Investigate Alerts,c3b30310-70a5-4219-896e-df8df69d0a35,6fa73c87-f58c-4eb8-89b2-7ff60a4fb65d,3878,79794.25,Online,Corporate,APAC,71.07,Closed,Jaime Green,2025-01-30
Operational Risk,Fraud Management,AML Reporting,Investigate Alerts,Security Value,Audit Data,Monitor Transactions,1cf3e1cc-1742-465f-8ae1-fa5dd0b544ef,c7d150db-b7a8-416e-a421-9a7e5b095ac4,7930,13444.11,ATM,Savings,EMEA,84.74,Pending Review,Maxwell Atkinson,2025-09-20
Operational Risk,AML Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Security Value,Transaction Data,Investigate Alerts,3487e605-f355-4156-a61f-874cf3f1dc2b,78f5bebb-3415-45b2-8168-ad8bd240c87c,4405,65339.83,POS,Current,APAC,14.47,Filed,Natalie Thompson,2025-03-21
Operational Risk,Fraud Management,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Transaction Data,Investigate Alerts,06349ce0-c70c-4115-9ed7-aa08c21d7c3b,cec1645d-c901-400c-9bbf-95746cf850bd,8341,13054.21,Online,Corporate,APAC,89.23,Closed,Donald Cruz,2025-06-05
Operational Risk,Fraud Management,AML Reporting,Investigate Alerts,Security Value,Transaction Data,Investigate Alerts,2872261f-13fb-4b00-b8df-f7fda01b77e4,281ebb8b-20f6-45d6-91b9-59911fe51974,9388,32890.36,POS,Savings,Americas,20.29,Closed,Kristin Wheeler,2025-07-08
Risk Management,AML Operations,AML Reporting,Investigate Alerts,Security Value,Audit Data,Investigate Alerts,b57d15b5-ff00-48b3-941e-fe00a9c713f3,b8a09941-1788-4b20-ae88-4e255f1cda11,3508,92789.26,Wire Transfer,Current,EMEA,86.5,Pending Review,Kevin Wright,2025-07-11
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Investigate Alerts,Security Value,Compliance Data,Monitor Transactions,59726005-939e-449e-a50a-c039d5184314,122c5b35-f08a-4898-99c0-a61c544f6d01,8077,48089.27,Wire Transfer,Current,Americas,45.36,Filed,Nicholas Cannon,2025-09-14
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Audit Data,Reports Suspicious Activities,d78bea05-74e4-43ec-ae63-8af885e9586d,0c2be102-cf27-47a0-a99d-890a69ce232b,3892,60479.06,Wire Transfer,Corporate,Americas,18.06,Closed,Jessica Swanson,2025-01-19
Financial Crime Risk,Risk and Compliance Operations,AML Reporting,Screen Customer Transactions,Operational Oversight,Audit Data,Reports Suspicious Activities,eb458516-a630-4ca1-b992-5f5ad68e15be,8a2e5e40-26e9-4b30-9fd5-eb1389a2272a,1268,69061.54,POS,Current,EMEA,61.36,Closed,Erika Herrera,2025-09-06
Risk Management,AML Operations,AML Reporting,Screen Customer Transactions,Operational Oversight,Audit Data,Investigate Alerts,8f99d67f-c4ac-44bb-87ac-ff1ea0143361,754210ae-d28d-46d4-9dc7-299d28930aa3,8301,60565.3,ATM,Corporate,Americas,17.35,Filed,Veronica Perez,2025-02-02
Financial Crime Risk,AML Operations,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Compliance Data,Reports Suspicious Activities,062a726d-4efa-4d5f-bfc0-65046804e5fb,c49ae4f1-c0c6-4a69-bd8c-ba6d8f5efb7c,5390,41575.59,Wire Transfer,Current,APAC,51.07,Investigated,Dillon Mccormick,2025-07-02
Risk Management,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Operational Oversight,Audit Data,Monitor Transactions,a8ef83c7-a165-46f8-9226-7ebb85f89601,dded6078-b41b-48fb-bfdc-025fe492bb3a,6404,51766.57,ATM,Corporate,APAC,19.58,Filed,Jessica Moon MD,2025-08-15
Operational Risk,AML Operations,AML Reporting,Screen Customer Transactions,Compliance,Transaction Data,Investigate Alerts,aa65b1e7-6145-473e-9784-356298beb46c,580ef57f-4bed-45ab-ac90-0bab38db31fd,7940,69953.54,Wire Transfer,Corporate,APAC,18.8,Filed,Joshua Nguyen,2025-07-10
Financial Crime Risk,Risk and Compliance Operations,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Audit Data,Reports Suspicious Activities,f0d3a3b7-3d84-406b-9bca-8d715e0955d9,3c11f5d5-ddb3-45e9-94d1-03868022345b,3547,2972.61,Online,Corporate,EMEA,90.4,Investigated,Brian Lee,2025-04-08
Financial Crime Risk,AML Operations,Fraud Detection,Reports Suspicious Activities,Security Value,Transaction Data,Monitor Transactions,fd481447-6e7c-4769-b87a-68bb26f2eb47,80fc6ec6-9421-4f04-85b0-0711eeacc8c6,1234,70764.35,POS,Corporate,APAC,65.66,Filed,Keith Tran,2025-03-22
Financial Crime Risk,Risk and Compliance Operations,Fraud Detection,Reports Suspicious Activities,Security Value,Compliance Data,Reports Suspicious Activities,15ec57ac-a593-49e0-a662-3f29ca45f32c,ba81751e-c5b4-4804-802c-84b25dc1f038,6638,10004.86,Online,Current,APAC,19.27,Pending Review,Robert Wallace,2025-03-06
Risk Management,AML Operations,AML Reporting,Reports Suspicious Activities,Compliance,Transaction Data,Monitor Transactions,fc56bdf1-8a97-41af-8d16-8928146a9010,d4d02dfb-dd33-4860-9843-686d0d237ab2,4196,56196.72,Wire Transfer,Savings,EMEA,96.45,Closed,Mrs. Elizabeth Robertson MD,2025-03-21
Risk Management,Fraud Management,AML Reporting,Reports Suspicious Activities,Security Value,Transaction Data,Monitor Transactions,32111543-edfa-420d-9cd1-eba11a191b11,9e578ffc-e53d-4ae5-b6ca-31d854f0054d,6482,20482.05,ATM,Current,Americas,83.87,Filed,Gary Downs,2025-05-02
Operational Risk,AML Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Security Value,Audit Data,Reports Suspicious Activities,a6870d36-0b8b-468d-a187-5b71cc88df44,27fdd07c-6015-4587-8a0f-d4e360cf944e,7224,36026.8,Online,Current,EMEA,38.31,Closed,Bryan Brown,2025-04-14
Financial Crime Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Screen Customer Transactions,Operational Oversight,Compliance Data,Reports Suspicious Activities,874e40a2-cf22-4dbe-adeb-bcb954b6e750,42e30064-5879-4dfa-a1b8-5dd5c9abd276,8208,25580.5,Wire Transfer,Current,EMEA,0.98,Investigated,Andrea Sims,2025-07-13
Operational Risk,AML Operations,Anti Money Laundering Monitoring,Investigate Alerts,Security Value,Audit Data,Reports Suspicious Activities,07af8123-fc65-417a-a7f2-111dee1b2664,33a4d3ae-8874-4b89-bec4-69804f81a009,8316,28767.32,Wire Transfer,Current,APAC,37.57,Filed,Megan Good,2025-10-13
Financial Crime Risk,AML Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Compliance,Audit Data,Monitor Transactions,a2593053-840d-4237-b1a8-006c9ec2f9c2,bcd22da2-9dd0-4bde-997e-a2eeb58268c8,8762,65579.5,ATM,Savings,Americas,22.64,Investigated,Alicia Giles,2025-01-09
Financial Crime Risk,Risk and Compliance Operations,Anti Money Laundering Monitoring,Reports Suspicious Activities,Operational Oversight,Transaction Data,Reports Suspicious Activities,0cc24503-21f8-4db2-8313-f73326833ad9,d8cb1cc5-6952-43d4-a067-9fcf35a02686,9731,36633.55,Wire Transfer,Corporate,EMEA,19.26,Closed,Sharon Mitchell,2025-06-10
Risk Management,Risk and Compliance Operations,AML Reporting,Investigate Alerts,Compliance,Compliance Data,Investigate Alerts,f0a14c00-d09b-46d7-9fa8-5e7c32d9773e,f500f30a-e803-455b-8376-a860dee497c7,3091,47804.11,POS,Savings,APAC,37.6,Investigated,Deborah Thompson,2025-07-22
Risk Management,AML Operations,AML Reporting,Screen Customer Transactions,Compliance,Compliance Data,Investigate Alerts,48357087-e6ec-4589-ac43-05a456010c4c,05faa5dd-291e-4e50-85f5-7b657dd2ac49,5357,15011.01,ATM,Current,APAC,97.33,Investigated,Michael Nguyen,2025-10-15
Risk Management,Fraud Management,Fraud Detection,Reports Suspicious Activities,Operational Oversight,Transaction Data,Reports Suspicious Activities,1c04823b-7b28-4204-9fe3-b603e26268e2,ee0611a6-d1d8-498a-bc1f-b4d316e111c2,3812,64855.18,POS,Current,Americas,57.33,Filed,Kathleen Ritter,2025-02-09
Operational Risk,Fraud Management,Anti Money Laundering Monitoring,Investigate Alerts,Operational Oversight,Compliance Data,Monitor Transactions,844b7cce-729c-4d28-9aae-54d8ab74264d,974eed5a-757f-407e-a42b-d735bbab6dbd,5386,13403.23,Online,Savings,APAC,42.16,Investigated,Rebecca Jacobson,2025-01-03
Risk Management,AML Operations,Fraud Detection,Reports Suspicious Activities,Security Value,Compliance Data,Reports Suspicious Activities,a93d1049-21c4-43b4-a421-4da4393f93bb,776a7b44-43d9-443b-a425-d60ff2bc3bc3,8833,90089.44,Wire Transfer,Corporate,APAC,17.55,Investigated,Shelby Arnold,2025-03-22
Risk Management,Fraud Management,Fraud Detection,Investigate Alerts,Security Value,Audit Data,Investigate Alerts,cf95f0e9-daa0-4f10-b295-86c155ec3f88,48ef243d-0cb7-4c78-b224-4b0fc4af1fe8,5404,40825.72,ATM,Corporate,APAC,33.16,Investigated,Lorraine Hodges,2025-09-02
Risk Management,AML Operations,Anti Money Laundering Monitoring,Investigate Alerts,Security Value,Audit Data,Investigate Alerts,0e93a3e7-416a-4944-83f4-05912a109ab2,35c9d2d1-14ee-48ff-bc2f-c20de6621c0a,2943,24604.67,Wire Transfer,Savings,EMEA,18.84,Pending Review,Brittany Holmes,2025-06-26
Financial Crime Risk,Fraud Management,AML Reporting,Reports Suspicious Activities,Compliance,Compliance Data,Monitor Transactions,61206f17-0292-43cd-aa72-b110a70bdbac,7b98fd4b-a9c9-47cf-9a25-e1b3f5f5ce17,8448,65848.39,Online,Corporate,EMEA,22.5,Pending Review,Chelsea Jones,2025-06-15
Financial Crime Risk,Risk and Compliance Operations,Fraud Detection,Investigate Alerts,Security Value,Transaction Data,Investigate Alerts,981a8ae8-28d6-4b7c-ad3a-ee8a2fda132e,fcad85ad-1e9c-496c-afc6-08e97c892ed7,2428,90582.3,Wire Transfer,Current,Americas,24.99,Filed,Sara Lyons,2025-03-25
