Employee_ID,Employee_Name,Department,Job_Role,Exit_Date,Notice_Period_Days,Exit_Reason,Exit_Interview_Date,Exit_Interview_Outcome,Asset_Return_Status,Knowledge_Transfer_Status,Final_Settlement_Status,Feedback_Notes,Data_Segment,Value_Domain,Data_Domain,Data_Value
EMP0022,Employee_22,Sales,Executive,2025-10-10,90,Termination,2025-10-07,Positive,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0023,Employee_23,Operations,Consultant,2025-08-24,45,Resignation,2025-08-18,Negative,Completed,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0024,Employee_24,HR,Executive,2024-11-06,30,Mutual Separation,2024-11-05,Positive,Pending,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0025,Employee_25,IT,Assistant,2025-01-10,90,Resignation,2025-01-08,Neutral,Pending,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0026,Employee_26,Finance,Analyst,2025-09-28,60,Retirement,2025-09-26,Positive,Completed,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0027,Employee_27,Finance,Manager,2025-04-14,30,Termination,2025-04-08,Positive,Pending,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0028,Employee_28,Operations,Manager,2025-04-15,60,Termination,2025-04-13,Neutral,Completed,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0029,Employee_29,IT,Engineer,2025-07-27,45,Termination,2025-07-24,Neutral,Not Applicable,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0030,Employee_30,Finance,Assistant,2025-05-30,90,Retirement,2025-05-27,Positive,Completed,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0031,Employee_31,Sales,Manager,2025-01-28,45,End of Contract,2025-01-26,Neutral,Completed,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0032,Employee_32,IT,Consultant,2025-05-11,30,Resignation,2025-05-11,Positive,Pending,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0033,Employee_33,IT,Executive,2025-08-09,60,End of Contract,2025-08-06,Neutral,Completed,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0034,Employee_34,Operations,Consultant,2025-01-01,45,Termination,2025-01-01,Negative,Pending,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0035,Employee_35,IT,Consultant,2025-04-26,60,Retirement,2025-04-25,Neutral,Completed,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0036,Employee_36,Operations,Executive,2025-06-12,45,Mutual Separation,2025-06-09,Negative,Not Applicable,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0037,Employee_37,Operations,Executive,2025-02-05,60,Retirement,2025-01-29,Neutral,Completed,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0038,Employee_38,Finance,Consultant,2025-06-30,30,Mutual Separation,2025-06-27,Neutral,Not Applicable,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0039,Employee_39,Marketing,Assistant,2025-09-14,60,Resignation,2025-09-07,Positive,Pending,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0040,Employee_40,Marketing,Analyst,2025-03-05,60,Resignation,2025-02-27,Negative,Completed,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0041,Employee_41,Sales,Consultant,2024-12-23,60,Termination,2024-12-21,Positive,Pending,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0042,Employee_42,Sales,Assistant,2025-04-29,90,Retirement,2025-04-28,Neutral,Completed,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0043,Employee_43,Finance,Consultant,2025-07-08,30,Termination,2025-07-05,Negative,Completed,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0044,Employee_44,Operations,Assistant,2025-08-30,60,End of Contract,2025-08-28,Negative,Not Applicable,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0045,Employee_45,IT,Manager,2025-02-04,45,Termination,2025-02-03,Positive,Pending,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0046,Employee_46,HR,Manager,2025-10-10,45,Mutual Separation,2025-10-03,Positive,Not Applicable,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0047,Employee_47,Sales,Executive,2024-12-21,90,Termination,2024-12-21,Positive,Not Applicable,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0048,Employee_48,HR,Executive,2025-04-29,45,Mutual Separation,2025-04-22,Positive,Not Applicable,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0049,Employee_49,Marketing,Engineer,2025-05-04,90,Resignation,2025-04-30,Neutral,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0050,Employee_50,IT,Engineer,2025-02-12,30,Retirement,2025-02-05,Negative,Not Applicable,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0051,Employee_51,HR,Analyst,2025-02-20,30,Termination,2025-02-13,Positive,Completed,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0052,Employee_52,Operations,Analyst,2025-05-19,90,Mutual Separation,2025-05-14,Negative,Not Applicable,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0053,Employee_53,Finance,Consultant,2025-05-09,60,Retirement,2025-05-06,Negative,Not Applicable,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0054,Employee_54,Marketing,Analyst,2024-10-17,45,Retirement,2024-10-14,Positive,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0055,Employee_55,Marketing,Consultant,2025-05-29,45,Mutual Separation,2025-05-28,Negative,Completed,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0056,Employee_56,HR,Manager,2025-06-11,90,Termination,2025-06-07,Positive,Not Applicable,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0057,Employee_57,Operations,Engineer,2025-02-08,90,Mutual Separation,2025-02-05,Positive,Completed,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0058,Employee_58,HR,Assistant,2025-08-15,30,End of Contract,2025-08-10,Negative,Completed,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0059,Employee_59,Sales,Consultant,2024-12-09,45,Resignation,2024-12-03,Neutral,Not Applicable,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0060,Employee_60,Finance,Executive,2025-01-11,30,Retirement,2025-01-07,Negative,Pending,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0061,Employee_61,Finance,Executive,2025-07-31,30,Termination,2025-07-28,Negative,Pending,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0062,Employee_62,Operations,Assistant,2025-08-26,90,Retirement,2025-08-22,Neutral,Not Applicable,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0063,Employee_63,Sales,Consultant,2025-09-12,60,Mutual Separation,2025-09-11,Neutral,Completed,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0064,Employee_64,Operations,Executive,2025-01-14,60,Mutual Separation,2025-01-08,Positive,Not Applicable,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0065,Employee_65,IT,Analyst,2025-07-02,60,End of Contract,2025-06-30,Positive,Completed,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0066,Employee_66,IT,Manager,2025-08-14,60,End of Contract,2025-08-10,Negative,Pending,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0067,Employee_67,Finance,Consultant,2025-10-11,45,End of Contract,2025-10-10,Positive,Pending,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0068,Employee_68,HR,Assistant,2025-10-07,90,End of Contract,2025-10-04,Neutral,Pending,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0069,Employee_69,Sales,Executive,2025-06-26,30,Resignation,2025-06-24,Neutral,Pending,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0070,Employee_70,Marketing,Engineer,2025-03-23,45,Resignation,2025-03-20,Neutral,Completed,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0071,Employee_71,Sales,Assistant,2025-05-05,60,Termination,2025-05-01,Negative,Pending,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0072,Employee_72,Marketing,Executive,2025-04-16,60,End of Contract,2025-04-16,Positive,Completed,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0073,Employee_73,IT,Assistant,2025-07-06,30,Mutual Separation,2025-06-30,Negative,Pending,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0074,Employee_74,IT,Executive,2025-01-06,60,Termination,2024-12-31,Negative,Completed,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0075,Employee_75,HR,Consultant,2025-09-29,30,Retirement,2025-09-24,Negative,Completed,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0076,Employee_76,Sales,Manager,2025-04-14,45,Resignation,2025-04-08,Positive,Not Applicable,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0077,Employee_77,Finance,Analyst,2025-05-17,90,Resignation,2025-05-11,Negative,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0078,Employee_78,HR,Analyst,2025-10-04,90,End of Contract,2025-09-30,Negative,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0079,Employee_79,Finance,Analyst,2025-05-07,30,Mutual Separation,2025-05-02,Negative,Completed,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0080,Employee_80,IT,Consultant,2024-11-18,30,Mutual Separation,2024-11-12,Negative,Pending,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0081,Employee_81,Marketing,Manager,2024-11-06,90,Retirement,2024-10-31,Negative,Not Applicable,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0082,Employee_82,Finance,Analyst,2025-09-06,90,Retirement,2025-08-30,Negative,Pending,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0083,Employee_83,Finance,Engineer,2025-06-06,60,Retirement,2025-06-02,Negative,Completed,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0084,Employee_84,HR,Analyst,2025-03-02,90,End of Contract,2025-02-24,Neutral,Pending,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0085,Employee_85,Marketing,Engineer,2024-11-08,30,Termination,2024-11-03,Positive,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0086,Employee_86,Finance,Analyst,2025-05-10,60,Retirement,2025-05-09,Positive,Completed,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0087,Employee_87,HR,Manager,2024-11-15,60,End of Contract,2024-11-08,Negative,Completed,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0088,Employee_88,HR,Assistant,2025-06-08,30,Retirement,2025-06-04,Negative,Pending,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0089,Employee_89,Finance,Consultant,2025-04-13,60,Resignation,2025-04-12,Negative,Pending,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0090,Employee_90,IT,Manager,2025-03-02,90,Retirement,2025-02-23,Positive,Pending,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0091,Employee_91,HR,Engineer,2025-07-28,45,Termination,2025-07-21,Negative,Pending,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0092,Employee_92,Marketing,Engineer,2025-08-31,45,Termination,2025-08-29,Negative,Completed,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0093,Employee_93,Sales,Analyst,2024-12-17,45,End of Contract,2024-12-12,Neutral,Pending,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0094,Employee_94,IT,Consultant,2025-03-27,90,Termination,2025-03-21,Neutral,Completed,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0095,Employee_95,Operations,Executive,2025-04-09,30,Retirement,2025-04-08,Positive,Pending,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0096,Employee_96,HR,Analyst,2024-12-07,30,Retirement,2024-12-01,Positive,Not Applicable,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0097,Employee_97,HR,Engineer,2025-01-30,30,Mutual Separation,2025-01-26,Neutral,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0098,Employee_98,Sales,Engineer,2025-06-12,30,End of Contract,2025-06-11,Positive,Completed,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0099,Employee_99,Finance,Engineer,2025-09-09,30,Mutual Separation,2025-09-02,Positive,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0100,Employee_100,Operations,Engineer,2025-07-31,45,Resignation,2025-07-29,Neutral,Completed,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0101,Employee_101,HR,Analyst,2025-08-24,30,Resignation,2025-08-19,Positive,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0102,Employee_102,IT,Executive,2024-12-02,90,Resignation,2024-11-28,Neutral,Pending,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0103,Employee_103,Marketing,Consultant,2025-08-27,30,Termination,2025-08-25,Positive,Not Applicable,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0104,Employee_104,Sales,Analyst,2025-02-14,45,Retirement,2025-02-11,Neutral,Completed,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0105,Employee_105,IT,Manager,2025-09-17,90,Mutual Separation,2025-09-11,Positive,Not Applicable,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0106,Employee_106,IT,Assistant,2025-03-15,60,Mutual Separation,2025-03-11,Negative,Not Applicable,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0107,Employee_107,Marketing,Assistant,2024-10-31,90,Retirement,2024-10-26,Negative,Completed,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0108,Employee_108,IT,Manager,2024-11-16,45,Retirement,2024-11-14,Negative,Pending,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0109,Employee_109,Marketing,Executive,2025-01-08,30,Termination,2025-01-06,Neutral,Pending,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0110,Employee_110,HR,Consultant,2025-03-11,30,Resignation,2025-03-07,Negative,Pending,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0111,Employee_111,Operations,Assistant,2025-08-23,60,Resignation,2025-08-22,Negative,Pending,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0112,Employee_112,Sales,Manager,2025-02-27,45,Retirement,2025-02-25,Negative,Pending,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0113,Employee_113,Sales,Engineer,2025-03-04,30,End of Contract,2025-02-25,Negative,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0114,Employee_114,HR,Engineer,2025-09-30,45,End of Contract,2025-09-23,Positive,Not Applicable,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0115,Employee_115,HR,Manager,2025-04-16,30,Resignation,2025-04-15,Positive,Pending,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0116,Employee_116,HR,Manager,2025-07-31,45,Resignation,2025-07-25,Neutral,Completed,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0117,Employee_117,Marketing,Engineer,2024-12-10,60,Retirement,2024-12-03,Neutral,Completed,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0118,Employee_118,Finance,Analyst,2025-07-08,90,Termination,2025-07-01,Neutral,Completed,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0119,Employee_119,Marketing,Executive,2024-12-24,30,Mutual Separation,2024-12-22,Neutral,Pending,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0120,Employee_120,HR,Analyst,2025-02-12,45,End of Contract,2025-02-10,Negative,Not Applicable,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0121,Employee_121,Operations,Assistant,2025-03-22,90,Termination,2025-03-19,Neutral,Pending,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0122,Employee_122,Sales,Analyst,2025-09-04,90,Retirement,2025-08-30,Positive,Pending,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0123,Employee_123,Marketing,Engineer,2025-04-26,45,Mutual Separation,2025-04-25,Neutral,Not Applicable,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0124,Employee_124,Sales,Engineer,2025-05-03,60,End of Contract,2025-04-28,Negative,Not Applicable,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0125,Employee_125,Marketing,Analyst,2025-03-26,90,Resignation,2025-03-24,Neutral,Not Applicable,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0126,Employee_126,Sales,Manager,2025-05-27,60,Resignation,2025-05-26,Positive,Not Applicable,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0127,Employee_127,Sales,Consultant,2025-05-08,30,Retirement,2025-05-08,Neutral,Pending,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0128,Employee_128,Sales,Consultant,2025-09-18,30,Mutual Separation,2025-09-18,Neutral,Not Applicable,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0129,Employee_129,Finance,Executive,2025-09-22,90,Retirement,2025-09-21,Positive,Pending,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0130,Employee_130,Marketing,Executive,2025-05-24,45,Retirement,2025-05-17,Negative,Completed,In Progress,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0131,Employee_131,Operations,Consultant,2025-08-21,60,Mutual Separation,2025-08-16,Neutral,Pending,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0132,Employee_132,Operations,Consultant,2024-11-18,30,Termination,2024-11-13,Negative,Completed,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0133,Employee_133,Sales,Executive,2024-11-27,60,Mutual Separation,2024-11-22,Neutral,Not Applicable,In Progress,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0134,Employee_134,IT,Consultant,2024-11-10,45,Retirement,2024-11-08,Positive,Pending,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0135,Employee_135,Sales,Executive,2025-07-22,90,End of Contract,2025-07-17,Negative,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0136,Employee_136,Marketing,Assistant,2025-03-27,45,Resignation,2025-03-22,Neutral,Not Applicable,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0137,Employee_137,Finance,Engineer,2025-01-23,60,End of Contract,2025-01-16,Negative,Completed,Not Applicable,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0138,Employee_138,HR,Analyst,2025-09-18,60,Resignation,2025-09-18,Positive,Not Applicable,Completed,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0139,Employee_139,HR,Consultant,2025-10-08,45,Resignation,2025-10-08,Positive,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0140,Employee_140,Finance,Assistant,2025-08-09,45,Mutual Separation,2025-08-05,Positive,Pending,In Progress,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0141,Employee_141,Sales,Analyst,2025-07-16,45,Resignation,2025-07-14,Neutral,Completed,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0142,Employee_142,HR,Consultant,2024-11-20,60,End of Contract,2024-11-19,Neutral,Pending,Not Applicable,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0143,Employee_143,HR,Manager,2025-06-26,45,End of Contract,2025-06-19,Positive,Completed,Completed,Pending,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0144,Employee_144,HR,Assistant,2025-01-18,30,End of Contract,2025-01-15,Negative,Pending,Not Applicable,On Hold,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
EMP0145,Employee_145,Marketing,Consultant,2024-10-21,60,Resignation,2024-10-17,Negative,Pending,Completed,Processed,,Workforce,Offboarding & Exit Process,Exit Management,Employee Exit Management
