recommendation_id,trader_id,recommendation_date,instrument_type,instrument_symbol,recommendation_action,target_price_usd,current_price_usd,expected_return_percent,confidence_score,time_horizon_days,rationale_summary,market_sentiment,sector,region,value_domain,data_segment,data_domain
REC100019,TRDR6847,2024-10-19,Stock,STO537,Sell,2625.11,1986.61,32.14,91,196,Manage none whatever magazine necessary miss data five have foot home room already.,Neutral,Healthcare,South America,Enterprise,Trade Transaction,Trade Data
REC100020,TRDR5650,2025-05-18,Commodity,COM966,Buy,539.94,516.74,4.49,93,140,Successful issue this what special performance actually.,Bearish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100021,TRDR1334,2025-09-11,Stock,STO666,Hold,220.28,183.37,20.13,87,359,Side tend real make catch always care later.,Neutral,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100022,TRDR7679,2025-07-31,Options,OPT213,Sell,1733.62,1809.44,-4.19,51,12,Born gas describe majority see receive another agency available bank receive.,Neutral,Energy,Europe,Enterprise,Trade Transaction,Trade Data
REC100023,TRDR8896,2025-08-21,Commodity,COM691,Hold,932.43,753.48,23.75,81,282,Ok first cold detail Congress off dinner lose suffer develop require challenge.,Neutral,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100024,TRDR4460,2025-04-01,ETF,ETF964,Buy,1176.63,905.1,30.0,97,77,Product little word business how image.,Bearish,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100025,TRDR1316,2024-11-06,Options,OPT759,Sell,182.56,149.54,22.08,97,169,Behind wear fear resource huge range school couple.,Neutral,Telecom,North America,Enterprise,Trade Transaction,Trade Data
REC100026,TRDR6782,2025-04-22,FX,FX870,Hold,121.77,117.5,3.63,97,254,Second indeed would large fish race many from.,Neutral,Energy,South America,Enterprise,Trade Transaction,Trade Data
REC100027,TRDR6680,2025-04-18,Bond,BON259,Hold,1764.04,1462.11,20.65,85,94,Yes try build most single choice gas step professional senior prove ability.,Bullish,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100028,TRDR7768,2025-03-12,FX,FX549,Buy,429.4,492.04,-12.73,90,314,Into it free still friend morning expect wind almost expect mouth hundred seek shake.,Bullish,Healthcare,South America,Enterprise,Trade Transaction,Trade Data
REC100029,TRDR3278,2025-01-15,Commodity,COM698,Watch,308.02,232.7,32.37,78,351,Defense follow rock energy perform bank understand coach fine.,Bearish,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100030,TRDR6500,2025-08-23,Options,OPT689,Hold,2365.01,1795.62,31.71,75,269,Possible senior remain economic level option degree she together son similar.,Bullish,Energy,North America,Enterprise,Trade Transaction,Trade Data
REC100031,TRDR5788,2025-05-08,Stock,STO409,Buy,2300.02,1839.87,25.01,64,151,Some scientist see pay phone simply conference team money use place town record.,Bullish,Telecom,North America,Enterprise,Trade Transaction,Trade Data
REC100032,TRDR7320,2025-05-09,FX,FX182,Sell,1246.53,1281.25,-2.71,95,13,Pm to into music look writer north.,Bullish,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100033,TRDR9810,2025-07-06,Bond,BON211,Watch,2715.06,1994.17,36.15,57,127,Sense light human sometimes rule source increase for.,Neutral,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100034,TRDR8320,2025-08-17,Bond,BON611,Hold,1143.88,1085.38,5.39,91,177,At rate realize box training two hot experience.,Bearish,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100035,TRDR8405,2025-03-14,Options,OPT945,Buy,1013.43,1102.75,-8.1,88,353,Bank eye home performance this from city.,Bullish,Energy,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100036,TRDR3892,2024-12-21,Bond,BON464,Watch,547.4,460.35,18.91,56,280,Pretty charge but ago would test possible staff energy by write.,Bullish,Technology,Europe,Enterprise,Trade Transaction,Trade Data
REC100037,TRDR2778,2025-06-26,Bond,BON683,Watch,992.2,1084.02,-8.47,66,157,Build white camera piece guy room during hour popular doctor weight magazine modern.,Neutral,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100038,TRDR1111,2024-11-20,Futures,FUT296,Buy,414.82,450.74,-7.97,67,10,Administration cut box point everything energy.,Bullish,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100039,TRDR4458,2025-03-18,Commodity,COM968,Sell,95.07,80.12,18.66,79,340,Religious ready without wear speak.,Bearish,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100040,TRDR4951,2025-03-19,Bond,BON505,Watch,1027.24,1077.79,-4.69,77,81,Shoulder reveal product among anything race participant finally.,Bullish,Finance,Europe,Enterprise,Trade Transaction,Trade Data
REC100041,TRDR1018,2025-03-16,Commodity,COM731,Watch,1634.57,1351.67,20.93,65,104,Wonder bag left stay country work our main citizen.,Bearish,Healthcare,South America,Enterprise,Trade Transaction,Trade Data
REC100042,TRDR8671,2025-02-13,Futures,FUT147,Buy,1219.42,1263.65,-3.5,53,300,Military help buy watch real recent sister Mr gun design dog manager some hospital herself enter performance happy.,Bearish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100043,TRDR6971,2025-03-13,ETF,ETF533,Sell,379.95,340.27,11.66,91,289,Plant body newspaper line forward key popular adult return unit available.,Bullish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100044,TRDR7176,2025-07-04,ETF,ETF466,Hold,158.17,127.8,23.76,74,138,Piece six stock between up administration chair new face today itself but.,Bullish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100045,TRDR5807,2024-10-26,FX,FX365,Sell,1488.41,1454.38,2.34,91,166,Born success poor yes sea whether theory at officer such idea thought discuss later.,Bullish,Healthcare,Europe,Enterprise,Trade Transaction,Trade Data
REC100046,TRDR3387,2025-02-21,Stock,STO474,Watch,688.17,722.94,-4.81,85,259,Operation save stock also yeah most dinner put north hair not add seem decide.,Bullish,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100047,TRDR8918,2024-12-19,Bond,BON922,Sell,331.09,266.47,24.25,66,341,Night responsibility pressure action their expert feeling leave night fact suffer wall real.,Neutral,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100048,TRDR8312,2025-05-15,Bond,BON431,Sell,240.38,234.33,2.58,66,340,No happen mean old image theory decade factor thousand best society operation.,Neutral,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100049,TRDR1437,2025-01-03,Commodity,COM815,Buy,368.24,289.86,27.04,93,294,Because listen economy employee this rather number trade religious magazine.,Bearish,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100050,TRDR3048,2025-08-10,Derivative,DER333,Sell,2080.28,1818.43,14.4,85,272,Call bar appear play along ball serve party page yet oil yourself.,Bullish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100051,TRDR5812,2025-07-16,Commodity,COM640,Sell,1828.34,1606.34,13.82,82,36,Ahead hour foot court hope former because artist need leave seek.,Bullish,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100052,TRDR2336,2025-02-17,ETF,ETF881,Buy,1386.22,1270.6,9.1,93,178,Reduce cell far also trouble bring how camera art easy draw want.,Bullish,Technology,Europe,Enterprise,Trade Transaction,Trade Data
REC100053,TRDR9920,2025-01-24,ETF,ETF669,Hold,931.33,746.14,24.82,92,65,Budget test side much leader candidate edge.,Neutral,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100054,TRDR4754,2025-07-18,Bond,BON448,Hold,543.05,399.36,35.98,62,132,Water ahead treatment foot floor develop blue administration find amount decision decision investment goal what.,Bullish,Industrials,Europe,Enterprise,Trade Transaction,Trade Data
REC100055,TRDR4668,2024-11-21,FX,FX606,Buy,1706.64,1847.21,-7.61,80,326,Perform window fall meet do small economic tell determine behavior just level authority nation before treat.,Neutral,Technology,South America,Enterprise,Trade Transaction,Trade Data
REC100056,TRDR1699,2025-03-04,Futures,FUT610,Sell,611.36,709.32,-13.81,53,158,Director teacher out product compare step stuff.,Neutral,Telecom,Europe,Enterprise,Trade Transaction,Trade Data
REC100057,TRDR7580,2024-12-30,Bond,BON429,Hold,1532.73,1524.35,0.55,63,110,Agent college attention floor apply mean doctor right no.,Neutral,Telecom,South America,Enterprise,Trade Transaction,Trade Data
REC100058,TRDR8877,2025-05-28,Derivative,DER329,Hold,1576.63,1741.55,-9.47,89,76,I our by choose pattern strong evidence top attorney set.,Bullish,Consumer Goods,Europe,Enterprise,Trade Transaction,Trade Data
REC100059,TRDR6263,2024-11-10,Bond,BON969,Buy,914.67,683.3,33.86,96,216,Magazine establish for space only then worry statement water cover rock again reflect field.,Neutral,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100060,TRDR6812,2025-05-14,Derivative,DER967,Buy,732.77,814.55,-10.04,53,152,Spring candidate red rather together compare.,Bearish,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100061,TRDR2450,2025-07-30,Bond,BON531,Buy,1424.21,1597.19,-10.83,96,242,Small rather hard wear door when far nice agent.,Neutral,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100062,TRDR2881,2024-12-04,Commodity,COM630,Hold,35.44,30.15,17.54,84,285,Necessary send especially economy loss few fine manager live night official stage.,Bearish,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100063,TRDR4645,2025-07-14,Commodity,COM632,Sell,1770.05,1592.06,11.18,59,323,Authority put civil along identify modern long person good away never great international simple.,Bullish,Energy,South America,Enterprise,Trade Transaction,Trade Data
REC100064,TRDR9966,2025-09-04,Commodity,COM287,Watch,1952.87,1404.74,39.02,91,148,Purpose little tough should total under bill establish hear serious position.,Bullish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100065,TRDR7246,2025-04-20,Commodity,COM120,Watch,1241.11,911.84,36.11,85,118,Force again manager fear machine often make election may recognize recognize majority.,Bullish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100066,TRDR7647,2025-07-08,ETF,ETF967,Watch,629.7,693.66,-9.22,51,213,Reality whom cover human by day space ten.,Bullish,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100067,TRDR3470,2025-10-16,FX,FX314,Buy,201.95,164.74,22.59,58,127,Operation several hair attorney for institution ability magazine.,Bearish,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100068,TRDR5106,2025-05-26,Futures,FUT897,Hold,1483.39,1132.1,31.03,92,217,Effect store paper sell thus writer my nor now mention team respond grow service wind nature begin person wall floor offer.,Bullish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100069,TRDR8531,2024-11-17,FX,FX281,Sell,506.3,580.42,-12.77,75,248,Oil environmental woman many though where school property.,Bullish,Technology,Middle East,Enterprise,Trade Transaction,Trade Data
REC100070,TRDR9391,2025-06-18,ETF,ETF498,Buy,1360.81,1075.57,26.52,79,362,Doctor wide quite participant cup degree heart you about question particularly child stay whole usually of raise describe.,Bearish,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100071,TRDR5112,2025-02-21,Options,OPT256,Hold,1066.17,870.7,22.45,72,269,True left seven open full save someone.,Bullish,Healthcare,Europe,Enterprise,Trade Transaction,Trade Data
REC100072,TRDR2298,2025-07-16,Derivative,DER247,Buy,546.95,525.16,4.15,98,125,Executive population trip happen time nor drive lawyer stage four animal enough space half of friend.,Neutral,Technology,South America,Enterprise,Trade Transaction,Trade Data
REC100073,TRDR6605,2025-09-25,ETF,ETF659,Hold,1478.68,1263.72,17.01,84,268,Member draw politics upon argue tax professional early.,Bullish,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100074,TRDR2616,2025-07-26,Options,OPT604,Watch,580.49,429.39,35.19,54,330,I interview too particular least question after herself positive school meet.,Bearish,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100075,TRDR1640,2025-05-27,ETF,ETF588,Sell,2018.0,1487.87,35.63,94,331,Professional field start wife because if technology success.,Bullish,Energy,Europe,Enterprise,Trade Transaction,Trade Data
REC100076,TRDR3949,2025-09-15,FX,FX262,Hold,1096.01,795.71,37.74,72,198,Specific simple company daughter feeling suddenly strong thought ground nice.,Bearish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100077,TRDR5349,2025-10-12,ETF,ETF774,Hold,1831.8,1417.47,29.23,97,116,Could cultural south fund through item executive within attention.,Bearish,Industrials,South America,Enterprise,Trade Transaction,Trade Data
REC100078,TRDR9589,2025-08-12,Futures,FUT177,Buy,2106.25,1920.71,9.66,72,300,New back reality magazine receive seek themselves.,Bullish,Industrials,Europe,Enterprise,Trade Transaction,Trade Data
REC100079,TRDR8880,2025-04-02,Futures,FUT797,Buy,1048.37,982.63,6.69,80,10,Large write war lay offer heavy cell wait.,Bearish,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100080,TRDR2883,2024-11-04,FX,FX138,Hold,1133.52,1327.93,-14.64,74,117,Up study situation my relationship term eat enjoy.,Bearish,Industrials,North America,Enterprise,Trade Transaction,Trade Data
REC100081,TRDR7244,2025-04-03,Futures,FUT383,Buy,1483.64,1424.39,4.16,58,248,Hard bit bed laugh pretty any catch of author ok letter society first newspaper.,Bullish,Technology,South America,Enterprise,Trade Transaction,Trade Data
REC100082,TRDR5818,2025-02-22,Futures,FUT538,Hold,2131.52,1605.18,32.79,94,108,Interview sell large world federal safe speak least manage.,Bullish,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100083,TRDR7639,2025-04-25,Derivative,DER758,Buy,785.35,629.99,24.66,68,39,Especially two along I prove there few green her.,Bullish,Industrials,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100084,TRDR9900,2025-09-14,FX,FX509,Sell,2088.32,1741.72,19.9,60,257,Line still course join hear hotel require peace sound stop sing return maintain beyond one business in ago.,Bearish,Energy,North America,Enterprise,Trade Transaction,Trade Data
REC100085,TRDR9098,2025-04-15,Derivative,DER899,Buy,1029.36,813.92,26.47,68,52,Build whose season break size there section other best alone eat total type.,Neutral,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100086,TRDR5623,2025-06-18,Stock,STO492,Watch,913.76,858.64,6.42,75,68,Either rather stop media fine traditional cover everything summer.,Bullish,Finance,Middle East,Enterprise,Trade Transaction,Trade Data
REC100087,TRDR3841,2024-10-29,Bond,BON197,Hold,1203.3,1059.9,13.53,75,283,Conference way affect own and edge paper generation air our option response individual may including better bill ago care carry.,Bullish,Telecom,South America,Enterprise,Trade Transaction,Trade Data
REC100088,TRDR6465,2025-06-09,Derivative,DER725,Sell,1213.64,1278.05,-5.04,100,193,Wait democratic other wish idea hot order second generation.,Neutral,Industrials,South America,Enterprise,Trade Transaction,Trade Data
REC100089,TRDR7285,2025-08-21,Futures,FUT584,Buy,1545.86,1778.49,-13.08,63,208,Establish structure son position light speech very like candidate head indeed yes stage.,Neutral,Consumer Goods,Europe,Enterprise,Trade Transaction,Trade Data
REC100090,TRDR1799,2025-06-02,Bond,BON813,Sell,1232.05,1269.37,-2.94,73,107,Kitchen benefit can old assume national sign center better.,Bullish,Telecom,North America,Enterprise,Trade Transaction,Trade Data
REC100091,TRDR5522,2024-11-15,Stock,STO138,Watch,775.17,580.22,33.6,98,41,Contain move through decide agreement memory machine during ground radio Republican.,Bullish,Industrials,South America,Enterprise,Trade Transaction,Trade Data
REC100092,TRDR7232,2024-12-07,Derivative,DER375,Sell,2277.07,1735.57,31.2,94,102,Federal voice notice them little station such politics world explain.,Neutral,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100093,TRDR1266,2025-07-22,Stock,STO880,Hold,1865.39,1767.3,5.55,53,285,Drug step argue myself benefit goal method seem benefit.,Bearish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100094,TRDR6751,2024-10-25,Bond,BON657,Hold,1098.93,980.14,12.12,50,66,Enough garden including wind best section human art exist old inside word.,Bullish,Healthcare,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100095,TRDR6529,2025-02-04,ETF,ETF631,Watch,612.64,550.54,11.28,99,74,Become north cup money live because get these rise imagine hand pressure.,Bullish,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100096,TRDR2342,2024-10-24,Futures,FUT757,Sell,1195.35,1158.4,3.19,75,116,Effect member daughter student particular drop begin technology that mother ground cut.,Neutral,Technology,South America,Enterprise,Trade Transaction,Trade Data
REC100097,TRDR4156,2024-12-28,Options,OPT785,Hold,1894.73,1656.96,14.35,80,304,Knowledge nor security check under sign law and whether move day court discuss require that civil financial.,Bullish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100098,TRDR8250,2025-08-19,Futures,FUT929,Sell,124.84,98.59,26.63,100,287,Trial forget main trip capital game.,Neutral,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100099,TRDR5456,2024-11-21,Stock,STO311,Watch,349.83,291.4,20.05,51,108,Note many send sound discover whose discussion show short fly government hundred.,Bearish,Technology,Europe,Enterprise,Trade Transaction,Trade Data
REC100100,TRDR3431,2025-08-14,Options,OPT867,Hold,1982.98,1475.32,34.41,92,59,Rather note measure apply lawyer method.,Neutral,Finance,North America,Enterprise,Trade Transaction,Trade Data
REC100101,TRDR4154,2025-03-21,Derivative,DER897,Watch,855.38,906.31,-5.62,94,333,Actually technology event success decade season.,Bearish,Industrials,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100102,TRDR5392,2025-08-27,ETF,ETF983,Buy,1922.59,1741.48,10.4,51,173,Manager entire room month or personal cut scientist allow.,Bearish,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100103,TRDR8874,2024-10-18,Derivative,DER816,Watch,984.87,1092.36,-9.84,97,173,Administration go around business TV maintain as officer song red impact tonight.,Neutral,Finance,Europe,Enterprise,Trade Transaction,Trade Data
REC100104,TRDR2638,2025-08-06,Derivative,DER921,Hold,722.98,818.87,-11.71,63,189,Dog fast usually provide meet federal exactly western.,Bearish,Energy,North America,Enterprise,Trade Transaction,Trade Data
REC100105,TRDR5986,2025-10-12,Options,OPT685,Hold,184.65,151.91,21.55,90,233,Method community necessary sea place television house glass police police say argue culture civil.,Bearish,Telecom,Middle East,Enterprise,Trade Transaction,Trade Data
REC100106,TRDR8506,2025-07-12,Options,OPT520,Buy,1670.55,1378.91,21.15,70,292,Fast indeed enter represent yourself past few best let he stand west direction loss industry suggest system concern effect.,Bearish,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100107,TRDR4685,2025-03-11,Commodity,COM407,Buy,1264.74,1356.43,-6.76,76,195,Everything order admit entire on performance Democrat trip where beautiful front.,Bearish,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100108,TRDR5144,2025-08-31,ETF,ETF898,Sell,1895.19,1472.45,28.71,86,142,Appear space detail she far around carry image method attack edge task her senior several evidence.,Neutral,Healthcare,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100109,TRDR6478,2025-03-05,Futures,FUT223,Watch,2224.81,1656.97,34.27,99,32,Improve change get senior heavy same buy history almost.,Bullish,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100110,TRDR9248,2025-01-16,Derivative,DER329,Buy,2110.46,1526.22,38.28,75,24,Popular court light movement site traditional thing if run society cover relationship degree.,Neutral,Consumer Goods,Middle East,Enterprise,Trade Transaction,Trade Data
REC100111,TRDR8597,2025-06-04,Commodity,COM206,Watch,1480.0,1298.7,13.96,76,182,Mind main after exactly energy right them and ok science yet point start end write.,Neutral,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100112,TRDR4409,2025-03-18,ETF,ETF982,Buy,1639.22,1377.96,18.96,99,317,Find likely within animal author strategy name degree small resource and.,Bearish,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100113,TRDR6525,2025-02-17,Bond,BON518,Hold,1983.75,1629.23,21.76,79,189,Attorney finally bring like use democratic seat director within computer.,Bullish,Consumer Goods,North America,Enterprise,Trade Transaction,Trade Data
REC100114,TRDR6062,2025-08-31,Options,OPT796,Buy,2730.14,1990.62,37.15,51,337,Type attention matter popular couple.,Bullish,Industrials,Middle East,Enterprise,Trade Transaction,Trade Data
REC100115,TRDR8456,2024-12-11,Stock,STO430,Hold,2216.39,1754.72,26.31,66,98,Require job shoulder throughout population area mind economy kind.,Bullish,Finance,Europe,Enterprise,Trade Transaction,Trade Data
REC100116,TRDR4449,2025-07-05,Stock,STO256,Sell,1253.16,1067.43,17.4,94,339,Occur pull difference individual show term notice lose vote.,Neutral,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100117,TRDR2804,2024-12-22,Options,OPT908,Buy,181.52,139.19,30.41,96,156,Later individual size partner agreement resource reason thought from close central worry.,Neutral,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100118,TRDR5653,2025-09-05,Derivative,DER267,Watch,1128.27,981.96,14.9,96,355,Century suggest choose cell stuff successful.,Neutral,Industrials,Europe,Enterprise,Trade Transaction,Trade Data
REC100119,TRDR9815,2024-11-16,Bond,BON186,Sell,183.65,209.1,-12.17,63,347,Look summer my pretty away age of large improve usually song standard music prove.,Bullish,Finance,South America,Enterprise,Trade Transaction,Trade Data
REC100120,TRDR7423,2024-12-03,Options,OPT733,Sell,1044.91,758.06,37.84,100,299,Factor long against mouth best arrive perform red book computer though exist statement parent.,Bearish,Industrials,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100121,TRDR8898,2025-07-04,Stock,STO757,Buy,2215.52,1707.0,29.79,86,301,Let analysis doctor better north night save war together recent phone quite practice.,Bullish,Technology,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100122,TRDR4343,2025-08-26,Stock,STO657,Buy,1468.12,1276.74,14.99,75,165,Director personal he great billion vote data win room floor.,Bearish,Healthcare,North America,Enterprise,Trade Transaction,Trade Data
REC100123,TRDR7711,2025-10-15,ETF,ETF115,Watch,443.31,379.84,16.71,67,336,Day sometimes less across simply.,Bearish,Industrials,Europe,Enterprise,Trade Transaction,Trade Data
REC100124,TRDR3901,2025-09-18,Bond,BON249,Hold,1437.81,1435.37,0.17,83,191,Size free message experience half product trial though program.,Neutral,Healthcare,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100125,TRDR9906,2025-08-30,Bond,BON887,Buy,1822.92,1996.85,-8.71,78,178,Say over real unit add my trouble will scene top grow start claim unit tell myself drug.,Neutral,Finance,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100126,TRDR7707,2025-01-06,Commodity,COM432,Watch,386.24,328.18,17.69,73,293,Today hospital discover project necessary line.,Bullish,Industrials,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
REC100127,TRDR2095,2025-02-10,Derivative,DER853,Sell,1219.1,1061.01,14.9,84,215,System station summer tax PM quality political section positive effort pull professional and.,Neutral,Technology,North America,Enterprise,Trade Transaction,Trade Data
REC100128,TRDR3833,2025-02-20,FX,FX854,Hold,2143.71,1745.98,22.78,59,359,Friend financial often deep war very traditional consumer near Republican maybe.,Neutral,Healthcare,Middle East,Enterprise,Trade Transaction,Trade Data
REC100129,TRDR2857,2025-05-28,ETF,ETF932,Watch,580.28,574.99,0.92,78,138,Soldier including take give real product none far what director.,Bullish,Energy,Middle East,Enterprise,Trade Transaction,Trade Data
REC100130,TRDR1194,2025-08-11,Options,OPT221,Sell,705.96,765.77,-7.81,87,117,Position fall sing although later people participant arrive.,Neutral,Consumer Goods,Asia-Pacific,Enterprise,Trade Transaction,Trade Data
