Customer_ID,Customer_Name,Credit_Exposure,Risk_Weight,Risk_Weighted_Assets,Risk_Category
CUST00272,Customer_272,850864.64,0.3,255259.39,Medium
CUST00273,Customer_273,586287.07,0.55,322457.89,Low
CUST00274,Customer_274,677844.48,0.97,657509.15,High
CUST00275,Customer_275,553830.61,0.92,509524.16,Low
CUST00276,Customer_276,682667.62,0.22,150186.88,Medium
CUST00277,Customer_277,199515.32,0.68,135670.42,Medium
CUST00278,Customer_278,751238.94,0.62,465768.14,Low
CUST00279,Customer_279,894706.74,0.85,760500.73,Medium
CUST00280,Customer_280,742470.54,0.28,207891.75,Medium
CUST00281,Customer_281,306754.37,0.35,107364.03,Low
CUST00282,Customer_282,996985.35,0.79,787618.43,High
CUST00283,Customer_283,866810.03,0.91,788797.13,Medium
CUST00284,Customer_284,520828.08,0.95,494786.68,Medium
CUST00285,Customer_285,815144.52,0.86,701024.29,Medium
CUST00286,Customer_286,904676.32,0.48,434244.63,Medium
CUST00287,Customer_287,128222.78,0.22,28209.01,High
CUST00288,Customer_288,538741.17,0.92,495641.88,Medium
CUST00289,Customer_289,607088.63,0.9,546379.77,High
CUST00290,Customer_290,366208.01,0.48,175779.84,Low
CUST00291,Customer_291,696002.91,0.48,334081.4,High
CUST00292,Customer_292,201449.31,0.45,90652.19,Medium
CUST00293,Customer_293,412949.66,0.66,272546.78,Medium
CUST00294,Customer_294,738412.42,0.9,664571.18,Low
CUST00295,Customer_295,992127.64,0.44,436536.16,Medium
CUST00296,Customer_296,716945.92,0.4,286778.37,High
CUST00297,Customer_297,237182.79,0.85,201605.37,High
CUST00298,Customer_298,799471.62,0.76,607598.43,High
CUST00299,Customer_299,420346.28,0.97,407735.89,Medium
CUST00300,Customer_300,655817.72,0.82,537770.53,Medium
CUST00301,Customer_301,291693.74,0.92,268358.24,High
CUST00302,Customer_302,70726.07,0.32,22632.34,High
CUST00303,Customer_303,306604.88,0.66,202359.22,Medium
CUST00304,Customer_304,229218.77,0.78,178790.64,High
CUST00305,Customer_305,781462.25,0.56,437618.86,Medium
CUST00306,Customer_306,730565.82,0.65,474867.78,High
CUST00307,Customer_307,991504.57,0.3,297451.37,High
CUST00308,Customer_308,75534.8,0.45,33990.66,Low
CUST00309,Customer_309,875748.28,0.82,718113.59,Low
CUST00310,Customer_310,342208.33,0.75,256656.25,Medium
CUST00311,Customer_311,992468.96,0.35,347364.14,Low
CUST00312,Customer_312,199248.07,0.58,115563.88,High
CUST00313,Customer_313,196889.16,0.63,124040.17,Medium
CUST00314,Customer_314,134744.39,0.87,117227.62,Medium
CUST00315,Customer_315,647840.53,0.98,634883.72,Low
CUST00316,Customer_316,460276.15,0.59,271562.93,High
CUST00317,Customer_317,480526.62,0.91,437279.22,Low
CUST00318,Customer_318,436197.95,0.65,283528.67,Medium
CUST00319,Customer_319,12568.86,0.54,6787.18,Low
CUST00320,Customer_320,213394.84,0.67,142974.54,Low
CUST00321,Customer_321,31571.39,0.52,16417.12,Medium
CUST00322,Customer_322,919233.26,0.54,496385.96,Medium
CUST00323,Customer_323,818596.77,0.28,229207.1,Low
CUST00324,Customer_324,662220.36,0.4,264888.14,Medium
CUST00325,Customer_325,442557.54,0.75,331918.15,High
CUST00326,Customer_326,992131.66,0.59,585357.68,Low
CUST00327,Customer_327,494303.09,0.94,464644.9,High
CUST00328,Customer_328,365900.6,0.97,354923.58,High
CUST00329,Customer_329,981125.53,0.77,755466.66,High
CUST00330,Customer_330,832193.15,0.73,607501.0,High
CUST00331,Customer_331,121502.19,0.61,74116.34,Medium
CUST00332,Customer_332,755755.53,0.68,513913.76,Low
CUST00333,Customer_333,279711.62,0.29,81116.37,Low
CUST00334,Customer_334,695782.88,0.75,521837.16,High
CUST00335,Customer_335,368394.59,0.73,268928.05,High
CUST00336,Customer_336,308365.99,0.54,166517.63,High
CUST00337,Customer_337,653949.49,0.95,621252.02,Low
CUST00338,Customer_338,832523.82,0.28,233106.67,High
CUST00339,Customer_339,789777.1,0.48,379093.01,High
CUST00340,Customer_340,292596.11,0.91,266262.46,High
CUST00341,Customer_341,467079.02,0.26,121440.55,High
CUST00342,Customer_342,158267.79,0.56,88629.96,High
CUST00343,Customer_343,902505.88,0.93,839330.47,High
CUST00344,Customer_344,336149.15,0.34,114290.71,Medium
CUST00345,Customer_345,294803.12,0.84,247634.62,Low
CUST00346,Customer_346,330021.17,0.49,161710.37,Low
CUST00347,Customer_347,161365.09,0.54,87137.15,High
CUST00348,Customer_348,597593.67,0.87,519906.49,Low
CUST00349,Customer_349,537002.5,0.76,408121.9,High
CUST00350,Customer_350,593319.73,0.77,456856.19,High
CUST00351,Customer_351,994948.14,0.32,318383.4,Medium
CUST00352,Customer_352,427123.56,0.9,384411.2,Medium
CUST00353,Customer_353,898675.0,0.27,242642.25,Medium
CUST00354,Customer_354,698693.88,0.57,398255.51,Medium
CUST00355,Customer_355,620390.33,0.28,173709.29,Medium
CUST00356,Customer_356,308874.47,0.33,101928.58,Low
CUST00357,Customer_357,660467.55,0.89,587816.12,Low
CUST00358,Customer_358,807595.31,0.29,234202.64,Medium
CUST00359,Customer_359,51877.85,0.84,43577.39,Medium
CUST00360,Customer_360,876036.31,0.8,700829.05,Low
CUST00361,Customer_361,14253.23,0.58,8266.87,Medium
CUST00362,Customer_362,622994.34,0.36,224277.96,Low
CUST00363,Customer_363,513549.84,0.47,241368.42,High
CUST00364,Customer_364,693823.47,0.93,645255.83,High
CUST00365,Customer_365,185760.41,0.49,91022.6,High
CUST00366,Customer_366,509625.2,0.76,387315.15,Medium
CUST00367,Customer_367,280853.47,0.89,249959.59,Medium
CUST00368,Customer_368,112031.97,0.89,99708.45,Low
CUST00369,Customer_369,576080.53,0.7,403256.37,Low
CUST00370,Customer_370,617664.33,0.56,345892.02,Low
CUST00371,Customer_371,316543.02,0.62,196256.67,Medium
CUST00372,Customer_372,797367.81,0.95,757499.42,Low
CUST00373,Customer_373,168701.21,0.76,128212.92,High
CUST00374,Customer_374,19809.67,0.94,18621.09,Medium
CUST00375,Customer_375,489233.08,0.93,454986.76,Low
CUST00376,Customer_376,206131.22,0.7,144291.85,High
CUST00377,Customer_377,910926.81,0.7,637648.77,High
CUST00378,Customer_378,824396.93,0.58,478150.22,Medium
CUST00379,Customer_379,671410.04,0.73,490129.33,High
CUST00380,Customer_380,954783.86,0.25,238695.96,High
CUST00381,Customer_381,853384.77,0.42,358421.6,Low
CUST00382,Customer_382,529913.05,0.21,111281.74,Low
CUST00383,Customer_383,210319.53,0.39,82024.62,Low
CUST00384,Customer_384,273682.46,0.66,180630.42,Medium
CUST00385,Customer_385,672654.91,0.93,625569.07,Low
CUST00386,Customer_386,855551.56,0.49,419220.26,Low
CUST00387,Customer_387,343721.83,0.89,305912.43,Medium
CUST00388,Customer_388,17823.24,0.91,16219.15,High
CUST00389,Customer_389,246291.55,0.57,140386.18,Medium
CUST00390,Customer_390,756956.11,0.32,242225.96,Medium
CUST00391,Customer_391,765344.58,0.67,512780.87,Low
CUST00392,Customer_392,529397.7,0.9,476457.93,High
CUST00393,Customer_393,169622.6,0.98,166230.15,High
CUST00394,Customer_394,771709.02,0.61,470742.5,Low
CUST00395,Customer_395,645650.64,0.88,568172.56,Medium
CUST00396,Customer_396,41616.26,0.86,35789.98,Medium
CUST00397,Customer_397,184085.96,0.98,180404.24,Medium
CUST00398,Customer_398,860464.67,0.33,283953.34,Medium
CUST00399,Customer_399,282232.85,0.21,59268.9,Low
CUST00400,Customer_400,882163.18,0.34,299935.48,Medium
CUST00401,Customer_401,147624.76,0.79,116623.56,High
CUST00402,Customer_402,413835.2,0.64,264854.53,Medium
CUST00403,Customer_403,499109.75,0.84,419252.19,Low
CUST00404,Customer_404,930349.66,0.97,902439.17,Low
CUST00405,Customer_405,667690.97,0.59,393937.67,Medium
CUST00406,Customer_406,379965.42,0.61,231778.91,Medium
CUST00407,Customer_407,658792.87,0.59,388687.79,Low
CUST00408,Customer_408,647093.94,0.36,232953.82,Medium
CUST00409,Customer_409,546118.79,0.49,267598.21,Medium
CUST00410,Customer_410,511511.82,0.29,148338.43,Low
CUST00411,Customer_411,594938.47,0.7,416456.93,High
CUST00412,Customer_412,28719.08,0.75,21539.31,Low
CUST00413,Customer_413,127956.19,0.96,122837.94,Medium
CUST00414,Customer_414,717008.43,0.93,666817.84,Medium
CUST00415,Customer_415,153467.1,0.22,33762.76,High
CUST00416,Customer_416,860724.01,0.59,507827.17,High
CUST00417,Customer_417,340906.6,0.77,262498.08,Medium
CUST00418,Customer_418,346955.02,0.34,117964.71,Low
CUST00419,Customer_419,620567.78,1.0,620567.78,Medium
CUST00420,Customer_420,892455.18,0.4,356982.07,Medium
CUST00421,Customer_421,508966.84,0.44,223945.41,Low
CUST00422,Customer_422,737286.9,0.34,250677.55,Low
CUST00423,Customer_423,236935.24,0.25,59233.81,Medium
CUST00424,Customer_424,680203.72,0.7,476142.6,High
CUST00425,Customer_425,55627.87,0.61,33933.0,Low
CUST00426,Customer_426,646309.53,0.84,542900.01,Medium
CUST00427,Customer_427,366355.37,0.41,150205.7,Medium
CUST00428,Customer_428,917982.12,0.4,367192.85,Medium
CUST00429,Customer_429,670202.77,0.73,489248.02,Low
CUST00430,Customer_430,326709.53,0.7,228696.67,Medium
CUST00431,Customer_431,819928.49,0.25,204982.12,Low
CUST00432,Customer_432,612568.55,0.91,557437.38,Low
CUST00433,Customer_433,302953.27,0.84,254480.75,High
CUST00434,Customer_434,580921.26,0.81,470546.22,Low
CUST00435,Customer_435,40306.89,0.35,14107.41,Medium
CUST00436,Customer_436,522984.55,0.98,512524.86,High
CUST00437,Customer_437,797159.6,0.33,263062.67,Low
CUST00438,Customer_438,881664.47,0.42,370299.08,Medium
CUST00439,Customer_439,793301.65,0.31,245923.51,Medium
CUST00440,Customer_440,409278.77,0.51,208732.17,Medium
CUST00441,Customer_441,773207.81,0.65,502585.08,Medium
CUST00442,Customer_442,97238.5,0.82,79735.57,High
CUST00443,Customer_443,731986.8,0.51,373313.27,High
CUST00444,Customer_444,958024.11,0.79,756839.05,Medium
CUST00445,Customer_445,400771.0,0.39,156300.69,Medium
CUST00446,Customer_446,697279.2,0.59,411394.73,Low
CUST00447,Customer_447,20398.39,0.29,5915.53,Medium
CUST00448,Customer_448,19066.36,0.44,8389.2,High
CUST00449,Customer_449,360137.16,0.52,187271.32,Low
CUST00450,Customer_450,491139.62,0.21,103139.32,Medium
CUST00451,Customer_451,859473.2,0.3,257841.96,Medium
CUST00452,Customer_452,377957.57,0.7,264570.3,Low
CUST00453,Customer_453,956729.23,0.74,707979.63,Low
CUST00454,Customer_454,383650.76,0.87,333776.16,Low
CUST00455,Customer_455,150653.91,0.9,135588.52,High
CUST00456,Customer_456,91117.75,0.77,70160.67,Low
CUST00457,Customer_457,613561.02,0.87,533798.09,High
CUST00458,Customer_458,268012.06,0.59,158127.12,Medium
CUST00459,Customer_459,794465.81,0.4,317786.32,Low
CUST00460,Customer_460,20052.45,0.68,13635.67,Medium
CUST00461,Customer_461,257306.68,0.92,236722.15,High
CUST00462,Customer_462,425125.09,0.28,119035.03,High
CUST00463,Customer_463,186192.19,0.8,148953.75,High
CUST00464,Customer_464,320435.43,0.55,176239.49,High
CUST00465,Customer_465,489721.12,0.36,176299.6,Low
CUST00466,Customer_466,393968.36,0.74,291536.59,Medium
CUST00467,Customer_467,335361.81,0.9,301825.63,High
CUST00468,Customer_468,845647.26,0.42,355171.85,Low
CUST00469,Customer_469,462839.0,0.37,171250.43,Medium
CUST00470,Customer_470,30737.05,0.29,8913.74,Low
CUST00471,Customer_471,732429.66,0.99,725105.36,High
CUST00472,Customer_472,257576.79,0.81,208637.2,High
CUST00473,Customer_473,242175.04,0.78,188896.53,Medium
CUST00474,Customer_474,25213.5,0.86,21683.61,Medium
CUST00475,Customer_475,812354.56,0.38,308694.73,Low
CUST00476,Customer_476,68630.11,0.26,17843.83,Medium
CUST00477,Customer_477,558790.6,0.27,150873.46,Low
CUST00478,Customer_478,910877.29,0.28,255045.64,Low
