Domain,Business_Activity,Sub_Domain,Activity_Description,Value_Type,Data_Domain,Data_Value,Loan_ID,Borrower_Name,Loan_Type,Outstanding_Amount,Risk_Level,Default_Probability,Status
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00018,Borrower_18,Auto Loan,1854485.68,High,0.09,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00019,Borrower_19,Business Loan,1963605.97,Very High,0.31,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00020,Borrower_20,Personal Loan,2224865.69,Medium,0.47,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00021,Borrower_21,Auto Loan,3777874.49,Medium,0.42,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00022,Borrower_22,Home Loan,1152849.52,High,0.16,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00023,Borrower_23,Education Loan,4080513.05,Low,0.4,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00024,Borrower_24,Personal Loan,4019162.67,High,0.02,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00025,Borrower_25,Business Loan,4134014.82,High,0.24,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00026,Borrower_26,Personal Loan,2445228.97,High,0.16,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00027,Borrower_27,Home Loan,257359.74,Medium,0.44,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00028,Borrower_28,Education Loan,4900290.4,High,0.48,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00029,Borrower_29,Education Loan,3538387.46,Very High,0.02,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00030,Borrower_30,Personal Loan,4326661.22,Very High,0.03,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00031,Borrower_31,Education Loan,3406245.81,High,0.46,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00032,Borrower_32,Business Loan,3201039.96,Medium,0.19,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00033,Borrower_33,Education Loan,2811207.59,Low,0.28,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00034,Borrower_34,Personal Loan,2527057.78,Medium,0.27,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00035,Borrower_35,Education Loan,810325.48,Very High,0.27,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00036,Borrower_36,Home Loan,2687818.17,High,0.05,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00037,Borrower_37,Personal Loan,4100643.09,High,0.03,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00038,Borrower_38,Education Loan,1921474.25,Very High,0.15,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00039,Borrower_39,Auto Loan,2295300.34,Very High,0.04,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00040,Borrower_40,Business Loan,1589249.88,High,0.13,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00041,Borrower_41,Auto Loan,2828565.98,Medium,0.34,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00042,Borrower_42,Personal Loan,2722282.5,Very High,0.39,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00043,Borrower_43,Business Loan,487072.9,Medium,0.09,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00044,Borrower_44,Business Loan,550054.61,High,0.07,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00045,Borrower_45,Auto Loan,2008244.55,Very High,0.19,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00046,Borrower_46,Home Loan,2005751.45,High,0.17,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00047,Borrower_47,Auto Loan,267773.64,Low,0.21,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00048,Borrower_48,Education Loan,1670460.66,Medium,0.3,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00049,Borrower_49,Home Loan,3688061.03,High,0.48,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00050,Borrower_50,Home Loan,916173.99,Low,0.26,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00051,Borrower_51,Business Loan,585458.19,Low,0.3,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00052,Borrower_52,Home Loan,512703.35,Medium,0.47,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00053,Borrower_53,Education Loan,211753.27,Low,0.46,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00054,Borrower_54,Personal Loan,2591415.35,High,0.03,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00055,Borrower_55,Home Loan,3135683.14,High,0.15,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00056,Borrower_56,Education Loan,675982.73,High,0.41,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00057,Borrower_57,Education Loan,1574288.6,Very High,0.42,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00058,Borrower_58,Business Loan,4154854.77,Low,0.14,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00059,Borrower_59,Education Loan,1826680.09,Very High,0.01,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00060,Borrower_60,Education Loan,1898241.27,Very High,0.3,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00061,Borrower_61,Home Loan,4681588.24,High,0.38,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00062,Borrower_62,Business Loan,3174289.61,Medium,0.28,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00063,Borrower_63,Education Loan,1828182.77,Very High,0.24,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00064,Borrower_64,Education Loan,4985322.61,High,0.3,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00065,Borrower_65,Business Loan,1780882.32,High,0.22,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00066,Borrower_66,Home Loan,4510567.03,High,0.46,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00067,Borrower_67,Home Loan,617881.97,High,0.09,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00068,Borrower_68,Business Loan,2653432.58,High,0.23,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00069,Borrower_69,Business Loan,2402643.58,Medium,0.41,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00070,Borrower_70,Auto Loan,2619189.41,Very High,0.21,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00071,Borrower_71,Home Loan,4612981.69,Medium,0.41,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00072,Borrower_72,Home Loan,1368956.23,Very High,0.25,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00073,Borrower_73,Auto Loan,2547458.92,Low,0.46,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00074,Borrower_74,Home Loan,540225.67,Low,0.32,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00075,Borrower_75,Personal Loan,2521900.93,High,0.49,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00076,Borrower_76,Auto Loan,276374.05,Low,0.17,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00077,Borrower_77,Education Loan,500501.22,Low,0.08,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00078,Borrower_78,Auto Loan,2215972.39,High,0.31,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00079,Borrower_79,Auto Loan,2878915.23,High,0.29,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00080,Borrower_80,Business Loan,64158.76,Very High,0.46,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00081,Borrower_81,Business Loan,1376804.41,Very High,0.05,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00082,Borrower_82,Education Loan,4807186.31,High,0.47,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00083,Borrower_83,Home Loan,3901310.65,High,0.11,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00084,Borrower_84,Auto Loan,1777900.71,Low,0.34,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00085,Borrower_85,Personal Loan,87961.93,High,0.37,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00086,Borrower_86,Home Loan,2468245.83,High,0.15,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00087,Borrower_87,Home Loan,4981631.27,Low,0.41,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00088,Borrower_88,Personal Loan,4828117.03,Medium,0.45,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00089,Borrower_89,Business Loan,3707705.7,Medium,0.47,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00090,Borrower_90,Personal Loan,1228418.17,Very High,0.27,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00091,Borrower_91,Home Loan,88646.6,Very High,0.33,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00092,Borrower_92,Auto Loan,1187133.79,Very High,0.1,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00093,Borrower_93,Home Loan,3467896.7,Medium,0.16,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00094,Borrower_94,Home Loan,2686820.89,Very High,0.09,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00095,Borrower_95,Education Loan,3074970.29,Low,0.34,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00096,Borrower_96,Auto Loan,3338822.17,Low,0.04,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00097,Borrower_97,Home Loan,289517.22,Low,0.25,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00098,Borrower_98,Personal Loan,4577939.12,High,0.31,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00099,Borrower_99,Personal Loan,1092857.58,Very High,0.41,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00100,Borrower_100,Business Loan,2680894.3,Very High,0.3,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00101,Borrower_101,Auto Loan,3468744.73,High,0.29,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00102,Borrower_102,Auto Loan,3052862.42,Very High,0.33,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00103,Borrower_103,Personal Loan,3024423.99,Low,0.47,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00104,Borrower_104,Home Loan,836566.3,High,0.04,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00105,Borrower_105,Business Loan,4300986.4,Medium,0.03,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00106,Borrower_106,Education Loan,1961301.23,Very High,0.45,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00107,Borrower_107,Personal Loan,3279460.32,Medium,0.22,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00108,Borrower_108,Personal Loan,2104170.77,Low,0.1,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00109,Borrower_109,Auto Loan,256436.32,Very High,0.28,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00110,Borrower_110,Auto Loan,900087.46,Very High,0.02,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00111,Borrower_111,Auto Loan,1859900.28,Medium,0.44,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00112,Borrower_112,Education Loan,3493530.14,Very High,0.44,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00113,Borrower_113,Education Loan,1832237.94,Low,0.1,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00114,Borrower_114,Auto Loan,4377296.68,High,0.14,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00115,Borrower_115,Auto Loan,4063437.26,Medium,0.33,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00116,Borrower_116,Business Loan,1223795.03,High,0.28,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00117,Borrower_117,Auto Loan,3021078.81,Very High,0.34,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00118,Borrower_118,Business Loan,2297480.75,Low,0.39,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00119,Borrower_119,Personal Loan,1610550.59,Very High,0.42,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00120,Borrower_120,Auto Loan,3859476.69,Very High,0.18,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00121,Borrower_121,Home Loan,3513994.48,Low,0.32,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00122,Borrower_122,Home Loan,2478128.42,High,0.19,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00123,Borrower_123,Home Loan,2365710.58,Very High,0.3,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00124,Borrower_124,Home Loan,4746819.73,Medium,0.27,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00125,Borrower_125,Education Loan,3192051.13,Very High,0.28,Active
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00126,Borrower_126,Education Loan,4170064.43,Low,0.08,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00127,Borrower_127,Personal Loan,2480009.42,Medium,0.49,Closed
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00128,Borrower_128,Home Loan,1223241.99,Very High,0.17,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00129,Borrower_129,Business Loan,484301.42,Low,0.37,Delinquent
Risk Management,Risk and Compliance Operations,Credit Risk Management,Monitor loan portfolio risk,Risk Value,Customer Risk Data,Monitor loan portfolio risk,LOAN00130,Borrower_130,Personal Loan,3778620.14,Medium,0.22,Closed
