Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,FX Exposure (USD),Risk Score
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2279,679450.02,88.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1867,900996.57,62.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5194,550199.5,57.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3431,656712.4,73.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7019,288626.89,63.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1311,896428.99,90.85
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7240,422158.82,32.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9454,624249.8,69.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9752,177201.66,94.53
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6158,435296.58,34.67
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2035,435492.51,40.84
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4734,625575.68,61.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5701,730875.71,56.13
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8196,989149.78,4.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5511,202433.37,58.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8479,676136.21,24.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6457,65629.92,61.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6173,519401.95,3.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3371,901570.84,4.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3413,243977.12,39.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5302,792657.74,4.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7537,928943.35,23.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4739,665498.9,24.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2584,446431.5,44.13
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4578,656925.27,1.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3833,772598.15,59.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1133,896642.31,63.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7362,11002.82,68.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9905,395247.91,27.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6064,441046.44,47.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3221,300425.77,11.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5727,724604.91,29.16
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7576,523857.06,48.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2056,888931.97,57.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8405,94950.65,4.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7670,963385.28,46.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6130,460250.87,41.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9184,845664.61,96.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4549,808868.18,21.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6325,965394.15,6.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2958,625960.6,20.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1199,340844.59,20.13
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3488,460090.14,24.56
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5041,107055.45,4.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1522,8395.75,2.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2201,332902.42,4.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9758,716214.89,11.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4065,871365.77,32.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6196,128506.49,65.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5089,790059.1,17.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1979,864228.39,8.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6298,418703.95,47.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6633,239475.38,44.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5048,699381.47,83.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6968,325986.72,35.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9388,809356.3,43.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6567,649328.92,78.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1846,48886.96,95.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1955,418305.96,67.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5431,183064.61,1.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4670,230320.7,23.53
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2568,998126.19,81.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3976,307882.49,74.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6703,284047.55,92.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5827,945832.75,74.16
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4237,827770.2,24.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5689,86971.09,5.11
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6800,469910.57,99.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2601,978017.47,11.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4450,803084.97,69.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3387,670612.38,80.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3497,207961.91,43.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6645,414206.98,81.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3796,782663.64,66.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2052,316207.97,45.21
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2420,352546.15,99.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2783,397676.18,96.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7420,874560.35,64.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5667,250721.66,81.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3727,392340.62,13.83
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5699,573741.06,34.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2346,931228.72,64.63
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9143,484229.11,16.43
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5914,335025.8,25.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6061,910362.18,23.99
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6684,841186.67,72.91
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8019,936269.99,71.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9536,532193.04,21.94
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5423,847965.8,45.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4663,170367.9,45.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6009,872862.89,67.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5872,602350.0,4.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8114,367880.36,70.23
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9603,262253.65,75.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7823,185725.6,25.97
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4099,933969.07,27.98
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4696,812881.19,67.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6103,18741.85,68.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7173,407815.93,48.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1407,523425.81,45.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8136,498751.69,25.36
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3407,928080.45,42.1
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8113,5642.6,37.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7311,536299.19,88.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1434,265798.07,10.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5754,162824.19,32.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9732,854351.75,94.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7559,38206.8,12.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9538,307212.29,4.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6053,245744.49,89.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4386,328013.61,94.35
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4355,436302.66,70.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3972,192180.54,54.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6109,665522.14,28.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6727,906154.22,48.04
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2231,265693.11,98.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6195,526633.45,88.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3284,681358.46,2.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3812,607175.4,85.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1027,272877.44,84.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9402,658426.52,15.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,1619,235493.75,67.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,6410,177008.38,79.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2842,774146.93,65.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3222,149067.64,96.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7406,871865.15,68.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9866,151684.76,86.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5549,540118.36,14.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2930,509354.61,82.27
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,9675,535154.4,35.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,4999,265584.8,20.26
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3949,13094.66,96.61
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,3277,104928.72,4.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7656,19517.89,27.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,7805,992041.77,67.14
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2743,575247.25,5.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5746,88348.12,2.99
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,5024,664103.86,66.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,8842,737905.42,53.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2458,714928.11,36.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Foreign Exchange Risk,Monitor,Compliance Data,Foreign Exchange Risk,2816,990789.31,88.52
