Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Transaction ID,Customer ID,Transaction Amount,Transaction Type,Account Type,Region,AML Risk Score,Status,Screened By,Transaction Date
Re-Contextualize Dot-Com Synergies,Reduced systemic system engine,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,07bb593b-454c-4a2f-a6d3-6e7deb981646,7449,47531.04,POS,Savings,APAC,26.12,Flagged,Brandon Wells,2025-05-12
Architect Revolutionary Interfaces,Realigned content-based success,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,be37696e-5046-43a8-83e0-8c518b819d75,5985,15905.72,POS,Corporate,EMEA,84.5,Reviewed,Kimberly Leach,2025-03-25
Mesh Viral E-Markets,Switchable tertiary capacity,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a01c6757-15e2-431b-9ae3-77b65e12d225,9158,88442.87,Wire Transfer,Corporate,EMEA,17.83,Cleared,James Tyler,2025-06-28
Streamline Compelling Relationships,Re-engineered stable core,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,489955ec-fc91-41f1-8963-023eccc9a881,7608,25258.17,POS,Corporate,APAC,55.36,Flagged,Mark Blake,2025-10-03
Benchmark Frictionless E-Tailers,Quality-focused content-based budgetary management,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a135c3ca-61fe-4b9a-ba36-3be4cea1c400,2092,96315.18,Online,Current,APAC,46.68,Cleared,Christina Lewis,2025-03-17
Exploit Holistic Portals,Sharable mission-critical paradigm,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,d5b371b2-9f1d-4e6e-b9b5-caa8a7f25cb7,5850,79439.51,Wire Transfer,Savings,EMEA,76.09,Flagged,Herbert Campbell,2025-09-25
E-Enable World-Class Partnerships,Cross-platform hybrid capability,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,e1c308d9-1ae3-40e8-91d6-d7524f39c124,8976,10354.0,Online,Current,APAC,29.92,Pending Investigation,Jerry Briggs,2025-04-04
Leverage Real-Time Experiences,Advanced scalable attitude,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,02de078f-c34d-4c3a-9d4f-800b469c9601,3186,18068.68,Wire Transfer,Corporate,Americas,47.29,Reviewed,Erin Jones,2025-10-11
Target Bricks-And-Clicks Paradigms,Down-sized bi-directional standardization,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,07a84b3a-40b8-4d07-8204-562ea734f308,9927,22646.74,POS,Corporate,EMEA,54.2,Reviewed,Michelle Lucas,2025-01-17
Redefine Ubiquitous Platforms,Self-enabling 24hour time-frame,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,d476ece4-5794-47ef-978e-b4d5146b609c,7901,40722.49,Online,Corporate,EMEA,88.62,Pending Investigation,Terry Ramos,2025-08-25
Visualize Cutting-Edge Experiences,Object-based 6thgeneration array,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,76376b07-f1a5-4559-81a7-059512292e27,5666,51209.95,Online,Savings,APAC,90.13,Pending Investigation,Eric Martinez,2025-08-02
Orchestrate Seamless Content,Operative cohesive product,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c9e8dbf8-bcd0-4a25-871d-b0baf476dbfd,9238,27596.89,Online,Savings,EMEA,39.06,Reviewed,David Brooks,2025-03-02
Incentivize Clicks-And-Mortar Infrastructures,Extended non-volatile service-desk,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,73d04692-0d37-4649-bc1d-cae5293ef4dd,9280,28843.12,Wire Transfer,Savings,EMEA,8.92,Flagged,Lisa Mora,2025-06-25
Strategize B2B Markets,Up-sized scalable strategy,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,cea5a137-e720-4be0-a39e-2740ebcf0fa9,3605,18043.01,Online,Current,APAC,53.56,Flagged,Joshua Weaver,2025-05-18
Strategize Cross-Platform Interfaces,Streamlined system-worthy contingency,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,0356acd4-cdd0-4d26-8dcc-6cf2ad23e30d,7911,71554.4,POS,Current,Americas,50.72,Cleared,Jacob Clark,2025-08-19
Grow Strategic Models,Versatile uniform moderator,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,414e1a1c-01af-4244-bb4a-9bf7c560084f,6873,70647.98,Online,Current,EMEA,68.07,Pending Investigation,Kathleen Williams,2025-03-21
Maximize E-Business E-Services,Monitored empowering middleware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,6bfb6e39-3113-4afa-bece-e25448d92a07,2363,50350.4,ATM,Savings,Americas,32.83,Flagged,Willie Vincent,2025-04-06
Synthesize Out-Of-The-Box Supply-Chains,Versatile zero administration portal,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c9fa5d96-20f7-4331-a5a3-6a76250d2487,1339,44751.97,Online,Current,Americas,38.0,Reviewed,Kayla Morales,2025-02-18
Re-Contextualize Proactive Metrics,Ameliorated 24hour application,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,61aad262-60a8-4684-9a60-626079cb6876,2845,33920.59,Online,Current,APAC,75.12,Flagged,Matthew Brewer,2025-04-27
Disintermediate Robust Functionalities,Fundamental zero-defect emulation,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,2ea8c4cf-2d92-42e6-a5b7-3ab062f148aa,5786,68992.87,Wire Transfer,Corporate,Americas,43.32,Reviewed,Michelle Cooper,2025-05-03
Facilitate Seamless Eyeballs,Advanced foreground orchestration,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,8827b155-16a6-466b-a9fd-a2d6215c67df,2449,20185.15,ATM,Current,Americas,40.09,Pending Investigation,Lisa Carr,2025-07-17
Harness Efficient Markets,Stand-alone static toolset,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,303b10b1-a0b7-4701-ac45-7eedb96786d1,2175,80894.68,ATM,Corporate,Americas,46.35,Cleared,Nicholas Beasley,2025-04-08
Seize Interactive Roi,Ergonomic encompassing encoding,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,a1af35d6-45c7-438f-b3a5-4888c7d30ae4,1480,49807.4,ATM,Corporate,EMEA,44.89,Cleared,Nicholas Turner,2025-10-01
Harness Back-End Communities,Customer-focused hybrid installation,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,4d51b803-c41d-4d41-ace8-149adaf24804,5029,70900.12,Wire Transfer,Corporate,APAC,43.47,Flagged,Laura Garcia,2025-01-22
Generate Web-Enabled Deliverables,Customer-focused 3rdgeneration budgetary management,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,7ec87a44-1d9e-43cc-9930-22147f1537c6,2985,94009.53,ATM,Savings,APAC,60.16,Cleared,Jeffery Johnson,2025-04-27
Redefine Collaborative Experiences,Grass-roots multi-tasking workforce,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,9960a73c-d859-429f-b2c3-8aeef0962dd6,8340,27233.02,POS,Current,EMEA,31.59,Pending Investigation,Stephanie Perez,2025-08-13
Empower Revolutionary Experiences,Devolved 5thgeneration focus group,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,7b850e77-3760-4eb1-a279-bb00f9096e45,6199,76124.73,Online,Savings,EMEA,22.24,Reviewed,Seth Simmons,2025-06-30
Repurpose Dynamic Supply-Chains,Multi-channeled methodical neural-net,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,aee4b6ef-f73b-44df-9db6-8a9753235bb0,4518,88047.08,Wire Transfer,Savings,Americas,3.24,Pending Investigation,Selena Molina,2025-03-06
Aggregate End-To-End Content,Quality-focused mobile website,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,fac68bf6-d8b9-43f6-854d-65f801da3a81,3168,44566.68,Wire Transfer,Savings,Americas,4.33,Flagged,Jay Parker,2025-02-07
Cultivate Plug-And-Play Methodologies,Cross-group 3rdgeneration matrix,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,e80b7fe2-2c30-46a5-b902-5da6d1f64ff2,4458,56255.35,Online,Savings,APAC,82.42,Reviewed,Randall Sweeney,2025-05-17
Integrate Holistic Methodologies,Ameliorated mobile application,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,e4bdf8b5-a6d0-4c84-8cf7-8d47c5c2a0ea,4725,9732.4,Wire Transfer,Current,EMEA,98.22,Pending Investigation,Michael Brown,2025-05-21
Harness Dot-Com Paradigms,Optional 4thgeneration circuit,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c20d988e-1b0e-4893-af25-eb144f980885,8860,78076.02,Online,Savings,EMEA,46.14,Pending Investigation,Kyle Robertson,2025-05-09
Deliver Front-End Web Services,Balanced zero administration intranet,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,d9878bb6-2c56-40ec-90d9-4ff04965fbd0,7599,84441.44,ATM,Current,EMEA,57.63,Flagged,Felicia Smith,2025-09-03
Engage Virtual Info-Mediaries,Realigned grid-enabled neural-net,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c693c4c4-0ccf-4bb1-b012-2a1064c5eb0e,4395,47948.08,Wire Transfer,Corporate,EMEA,3.07,Cleared,Thomas Odom,2025-03-12
Repurpose Rich Web Services,Front-line 24/7 archive,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,473c3235-9f7f-46a9-b805-d81ef5a1a67a,6979,18379.4,POS,Savings,APAC,46.91,Cleared,Dawn Smith,2025-09-28
Scale Collaborative Models,Triple-buffered global process improvement,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,dfd94b9e-9cba-4c60-a186-3f62375b2bf8,6254,57277.36,Wire Transfer,Savings,Americas,19.11,Reviewed,Nicole Moore,2025-02-14
Synthesize Cutting-Edge E-Commerce,Persistent static firmware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,00eff2b7-6c57-4d7a-bd94-3bb9fcfc8297,6193,31518.23,POS,Current,EMEA,38.67,Cleared,Kelsey Miller,2025-09-19
Revolutionize World-Class Info-Mediaries,Seamless well-modulated projection,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,4d5cf365-9ac9-4bce-9598-16bfd4bc52f8,7320,35859.14,Online,Current,EMEA,20.26,Pending Investigation,Jordan Lindsey,2025-02-28
Matrix Efficient Vortals,Synchronized reciprocal array,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,434149b4-a6df-4e33-b1c6-5a372d60d2de,8508,51799.15,Online,Corporate,EMEA,55.99,Flagged,Raymond Hammond,2025-07-24
Incubate Synergistic Markets,Enhanced maximized workforce,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,b393179f-8558-4654-80af-89fd190d747b,5122,51418.4,Online,Corporate,EMEA,46.11,Cleared,Frank Thomas,2025-07-26
Orchestrate Extensible Schemas,Future-proofed needs-based website,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,eca08a54-6b60-4eb5-aadd-d2a18f8ab8f4,8129,43364.05,ATM,Corporate,Americas,76.51,Pending Investigation,Karen Mack,2025-04-24
Matrix Visionary Infrastructures,Integrated motivating matrix,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,807a85ed-a505-48ce-80da-7c54ab7f2a5d,1059,55908.65,Online,Corporate,Americas,11.79,Flagged,Maureen Snow,2025-10-15
Brand Turn-Key Synergies,Organic bi-directional time-frame,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,b491ad62-14c5-410b-abd2-ecb314e8b6c3,8512,17124.47,ATM,Savings,EMEA,39.29,Cleared,Joshua Sharp,2025-06-14
Mesh Real-Time Vortals,Open-source static firmware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,fe000f42-4b53-440d-82b9-c88278d4724c,1591,27504.86,Wire Transfer,Corporate,APAC,52.41,Flagged,Vanessa Wright,2025-07-29
Optimize Dynamic Content,Total content-based encryption,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,ca11d414-6c57-4c25-9f52-d71c5fe5c7bd,7644,12281.54,Online,Current,EMEA,36.05,Flagged,Erik Mitchell,2025-08-04
Redefine Revolutionary Networks,Object-based value-added attitude,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,314a1e56-4348-4d5b-a5c3-7bfc4ae061e4,5908,18340.55,Wire Transfer,Current,EMEA,76.94,Pending Investigation,Toni Conrad,2025-09-15
Engineer Vertical Eyeballs,Self-enabling fault-tolerant portal,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,f14bed34-f435-4f56-965d-507e797e8d7a,3794,48635.99,Online,Savings,Americas,78.99,Pending Investigation,Daniel Phillips,2025-01-01
Target Cross-Media Paradigms,Reduced national adapter,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,514670de-de74-4e71-b97a-56d117ce4bf1,1225,16003.77,ATM,Corporate,EMEA,63.27,Flagged,Lindsay Church,2025-09-12
Brand 24/7 Deliverables,Enhanced intangible customer loyalty,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,62c591e5-a833-47da-ad3d-da84e3ecb042,1137,91508.18,ATM,Corporate,APAC,83.49,Pending Investigation,Karen Russell,2025-05-09
Strategize Frictionless Platforms,Cross-platform national intranet,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,c210f90b-b647-4d83-af0e-b71b72ecda93,1523,38445.43,ATM,Current,EMEA,69.91,Pending Investigation,Matthew Hanson,2025-08-17
Syndicate Sticky Info-Mediaries,Persevering national hardware,Anti Money Laundering Monitoring,Screen Customer Transactions,Compliance,Compliance Data,Screen Customer Transactions,62085a0e-09e3-4612-968f-ca576a79c38b,4702,86537.62,ATM,Savings,Americas,52.96,Flagged,Sabrina James,2025-02-14
