Business Domain,Domain Segment,Data Segment,Business Activity,Value Domain,Data Domain,Task,Customer ID,Interest Rate (%),Compliance Score
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1860,11.6,99.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8840,10.27,97.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7825,0.6,65.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4684,0.76,79.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8482,8.87,53.27
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5144,14.71,53.54
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6248,3.89,52.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1813,6.04,86.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6253,2.79,89.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3191,11.76,62.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6221,7.88,83.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7828,9.29,69.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7135,5.96,87.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3234,12.43,78.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1354,1.93,97.18
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4838,4.0,68.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5573,7.08,68.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5814,1.02,61.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8251,3.18,77.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1244,2.28,61.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6223,0.67,57.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1348,2.27,75.99
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1189,3.52,59.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6947,10.93,57.8
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6931,12.49,85.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8249,14.35,61.91
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4025,5.89,79.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2115,1.96,85.31
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7767,2.37,67.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1355,8.78,66.49
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5655,2.07,61.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5417,3.18,86.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8978,1.72,62.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5096,1.07,90.02
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1477,8.66,62.09
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4567,3.86,54.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3300,12.31,68.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2322,11.13,72.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9868,13.28,97.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8979,4.01,79.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1825,5.35,59.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9389,1.61,80.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6266,3.66,93.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8702,14.0,64.92
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4977,12.37,82.46
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7654,2.18,66.37
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3109,10.88,86.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5319,3.19,54.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8901,12.99,85.02
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4353,11.45,66.29
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1251,1.74,91.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6990,9.21,74.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4562,5.37,98.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7258,6.77,91.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4400,12.65,87.72
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4599,6.35,93.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4366,13.75,73.89
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8520,0.6,90.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2997,6.45,83.12
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6166,9.1,58.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5958,2.81,94.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5732,6.02,70.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4291,10.1,77.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8301,13.33,93.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7558,2.96,68.91
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1605,13.36,67.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3988,13.42,64.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5204,9.47,58.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2613,0.76,80.75
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7761,5.24,78.8
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5147,12.35,97.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4129,3.21,94.19
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5138,1.3,92.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4477,7.18,83.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7509,6.79,74.39
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6675,13.42,75.4
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5240,13.16,58.87
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8926,5.22,89.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8400,1.79,93.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9919,7.11,90.8
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5213,6.82,75.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2773,5.76,92.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5965,4.54,85.07
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1011,6.52,66.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7424,8.58,85.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1835,7.71,53.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6587,12.33,60.41
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4575,7.29,67.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9159,8.68,77.48
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5124,13.24,77.11
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7227,8.37,53.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8643,11.33,84.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3861,2.21,88.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6114,11.23,92.87
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6779,13.73,51.01
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1045,12.08,64.06
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9947,9.77,61.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4161,9.89,75.68
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7896,8.36,85.65
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5681,10.11,76.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7770,8.51,57.15
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7676,2.59,70.82
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2180,10.97,74.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2192,10.38,74.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5239,2.83,69.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2260,13.17,69.02
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4326,13.82,59.25
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3594,7.31,91.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8431,12.93,99.23
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1290,2.1,85.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4909,3.43,70.76
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8828,13.33,68.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9062,4.83,50.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2429,5.03,65.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8726,4.49,57.62
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1450,13.93,52.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5622,13.08,50.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2162,4.85,77.14
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3863,3.34,90.08
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3728,4.31,91.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3199,2.09,52.77
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4649,8.35,65.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4914,13.32,76.69
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1562,3.67,84.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6150,9.32,90.45
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7530,10.55,91.14
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2995,7.85,57.75
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1392,6.68,67.52
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2665,2.86,99.14
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8658,11.69,68.22
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7871,7.13,50.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9411,5.62,99.24
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4522,6.38,73.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6686,5.74,63.96
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,1418,11.8,78.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6775,10.1,77.57
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3786,10.74,93.32
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9183,5.74,53.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3646,5.3,78.55
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3702,14.94,93.28
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4896,10.49,89.93
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4677,14.04,98.88
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9078,11.23,80.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5086,4.03,85.2
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5536,0.9,88.47
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9951,7.97,58.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7625,14.22,95.79
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2242,7.16,96.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3458,10.44,66.03
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9104,9.13,63.44
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6451,6.33,51.3
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9261,0.86,84.0
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5045,8.52,62.23
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3916,13.32,69.78
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2888,9.08,71.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3361,14.56,53.81
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7420,8.29,83.9
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9561,14.97,80.59
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8448,4.69,71.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4454,14.34,68.71
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8997,6.6,92.74
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4013,5.92,50.6
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7705,13.9,65.38
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4919,12.36,95.58
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,4875,6.81,98.64
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,3036,5.94,53.51
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,5343,1.56,58.95
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9359,6.6,83.86
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,9325,4.78,89.66
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,6298,6.24,95.73
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7694,1.91,99.17
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2456,12.05,99.05
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,2296,13.41,69.42
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,8083,0.57,73.34
Risk Management,Risk and Compliance Operations,Market Risk Management,Monitor Interest Rate,Monitor,Compliance Data,Monitor Interest Rate,7992,14.53,93.74
